scenario_id,scenario_label,season,week,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,is_active_pid,is_active_nm,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,New England Patriots,Stefon Diggs,WR,00-0031588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.21,31.9,0.3,0.2591817793182821,1.0,1.0,72.0,32.04,37.77,179.7,138.1,1.4152476790604438,0.8408898676645609,0.8009704918032785,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Sam Darnold,QB,00-0034869,1.0,39.17,284.7,2.01,0.88,5.95,22.2,0.18,0.0,0.0,0.0,0.0,0.164729788588728,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,George Holani,RB,00-0039299,1.0,0.0,0.0,0.0,0.0,7.85,34.8,0.18,3.18,2.15,20.6,0.18,0.302323673928969,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Kenneth Walker III,RB,00-0038134,1.0,0.0,0.0,0.0,0.0,14.14,56.3,0.52,5.11,3.64,25.0,0.3,0.5595683454940008,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,AJ Barner,TE,00-0039793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,4.66,39.5,0.42,0.34295318018494325,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Elijah Arroyo,TE,00-0040739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,1.96,23.5,0.22,0.1974812020375215,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Eric Saubert,TE,00-0033576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Nick Kallerup,TE,00-0040058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Cooper Kupp,WR,00-0033908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,4.83,42.3,0.41,0.3363497498636806,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,Dareke Young,WR,00-0037093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,41.24,27.94,313.0,138.2,2.4479510870903813,0.835885737055252,1.030997014925373,1.0,1.0,1.0,1.0
