scenario_id,scenario_label,season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_home,close_spread_home,total,close_total,wind_open,wx_wind_mph,wx_precip_pct,wx_temp_f,roof_closed_flag,roof_open_flag,neutral_site_flag,rest_days_diff,elo_diff,net_margin_diff,home_inj_starters_out,away_inj_starters_out,home_def_ppg,away_def_ppg,home_def_sack_rate_ema,away_def_sack_rate_ema,home_def_sack_rate,away_def_sack_rate,scenario_applies,scenario_wind_open_add_mph,scenario_wx_precip_add_pct,scenario_wx_temp_add_f,scenario_home_inj_starters_add,scenario_away_inj_starters_add,scenario_neutral_site_flag,scenario_rest_days_diff_add,scenario_elo_diff_add,scenario_net_margin_diff_add,scenario_home_def_sack_rate_add,scenario_away_def_sack_rate_add,scenario_spread_home_add,scenario_total_add,scenario_pred_margin_add,scenario_pred_total_add,scenario_ats_sigma_override,scenario_total_sigma_override,scenario_apply_when_mode,scenario_apply_when
v2_baseline,Baseline,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_cold_minus15,Temp -15F,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,-15.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_elo_minus100,Home Elo -100 (diff),2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,15.605881604527212,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_elo_plus100,Home Elo +100 (diff),2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,215.6058816045272,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_inj_away_plus1,Away starters out +1,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,1.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_inj_away_plus2,Away starters out +2,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,2.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_inj_home_plus1,Home starters out +1,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,1.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_inj_home_plus2,Home starters out +2,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,2.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_neutral_site,Neutral site,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,1,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_precip_plus25,Precip +25%,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,25.0,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,25.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_precip_plus50,Precip +50%,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,50.0,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,50.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_pressure_plus005,Home/away pressure +0.05,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,,,all,
v2_rest_minus7,Home rest -7 days (diff),2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,-7.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_rest_plus7,Home rest +7 days (diff),2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,7.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,all,
v2_sigma_high,High volatility,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,all,
v2_sigma_low,Low volatility,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,all,
v2_spread_home_minus3,Spread home -3.0,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,,,all,
v2_spread_home_plus3,Spread home +3.0,2025,22,2025_22_New_England_Patriots_Seattle_Seahawks,Seattle Seahawks,New England Patriots,-7.411361,43.7656070375168,,,,,,,,,0,1,0,0.0,115.60588160452721,-2.1830363869513008,0.0,0.0,19.63884744434647,6.915359124809843,,,,,1,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,all,
