stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,280,0.9,v2_baseline,0.06574468085106383
pass_attempts,280,0.9071428571428571,v2_baseline,0.8304255319148937
pass_tds,280,0.9035714285714286,v2_baseline,0.11755319148936169
pass_yards,280,0.9142857142857143,v2_baseline,7.764893617021276
rec_tds,280,0.35,v2_baseline,0.2667021276595745
rec_yards,280,0.21071428571428572,v2_baseline,16.94609929078014
receptions,280,0.21785714285714286,v2_baseline,1.3661702127659574
rush_attempts,280,0.6107142857142858,v2_baseline,1.675354609929078
rush_tds,280,0.7035714285714286,v2_baseline,0.12446808510638298
rush_yards,280,0.6142857142857143,v2_baseline,7.783687943262412
targets,280,0.15357142857142858,v2_baseline,1.9539007092198581
