scenario_id,delta_pred_margin,delta_pred_total,delta_spread_ref,delta_total_ref,delta_home_points_mean,delta_away_points_mean,delta_total_points_mean,delta_prob_home_win_mc,delta_prob_home_cover_mc,delta_prob_over_total_mc,n_games_applies,n_games,scenario_label
v2_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,Baseline
v2_blend_10_20,6.344131569286608e-17,0.13345131974071986,0.0,0.0,0.07104013075444751,0.1440759314862023,0.21511606224064955,-0.004928571428571429,-0.00017857142857143665,0.006678571428571423,14,14,Market blend m=0.10 t=0.20
v2_cold_minus15,0.0,0.0,0.0,0.0,0.02765917380981429,0.012330130963543138,0.03998930477335857,-0.0011785714285714266,0.004607142857142853,0.004392857142857143,14,14,Temp -15F
v2_elo_minus100,-0.08000000000000004,0.0,0.0,0.0,-0.10876908788255106,0.15303224900403137,0.04426316112148042,-0.011857142857142853,-0.0064642857142857045,0.001678571428571422,14,14,Home Elo -100 (diff)
v2_elo_plus100,0.08,0.0,0.0,0.0,0.026686866024560527,-0.01627229410812398,0.010414571916438067,0.0014642857142857177,0.005535714285714287,0.0026428571428571373,14,14,Home Elo +100 (diff)
v2_inj_away_plus1,0.0,-0.4000000000000001,0.0,0.0,-0.2334725260654579,-0.17292539733430776,-0.40639792339976566,-0.0028928571428571415,-0.001392857142857152,-0.009964285714285712,14,14,Away starters out +1
v2_inj_away_plus2,0.0,-0.8000000000000023,0.0,0.0,-0.33925460557412457,-0.22802390721003096,-0.5672785127841539,-0.005249999999999999,-0.003821428571428575,-0.015214285714285717,14,14,Away starters out +2
v2_inj_home_plus1,0.0,-0.4000000000000001,0.0,0.0,-0.1735415613840981,-0.14802857769436198,-0.3215701390784602,0.0006785714285714213,0.003642857142857142,-0.011357142857142859,14,14,Home starters out +1
v2_inj_home_plus2,0.0,-0.8000000000000023,0.0,0.0,-0.4170658469577716,-0.22481481564959463,-0.6418806626073668,-0.009892857142857139,-0.007357142857142863,-0.01414285714285714,14,14,Home starters out +2
v2_neutral_site,0.0,0.0,0.0,0.0,0.0011231529301403143,0.046155802413426476,0.04727895534356463,-0.0041428571428571434,0.002821428571428578,0.004999999999999992,14,14,Neutral site
v2_precip_plus25,0.0,0.0,0.0,0.0,-0.03568883027877818,-0.002106987515028104,-0.03779581779380692,-0.004178571428571436,0.0018928571428571326,0.002107142857142855,14,14,Precip +25%
v2_precip_plus50,0.0,0.0,0.0,0.0,0.03116302378438223,0.07395013022622507,0.10511315401060577,-0.0033571428571428563,-0.0003214285714285677,0.0036071428571428565,14,14,Precip +50%
v2_pressure_plus005,0.0,-0.8000000000000013,0.0,0.0,-0.36039125670627276,-0.30496047604186877,-0.6653517327481419,-0.006892857142857137,0.0026071428571428634,-0.018714285714285715,14,14,Home/away pressure +0.05
v2_rest_minus7,-0.15000000000000005,0.0,0.0,0.0,-0.08319237966402808,0.1240939018649885,0.04090152220096296,-0.010750000000000001,-0.007464285714285717,0.004464285714285711,14,14,Home rest -7 days (diff)
v2_rest_plus7,0.15000000000000013,0.0,0.0,0.0,0.05204699493307149,-0.01943298082582994,0.032614014107240664,-0.004214285714285722,0.002678571428571423,0.004964285714285711,14,14,Home rest +7 days (diff)
v2_sigma_high,0.0,0.0,0.0,0.0,0.11625516299212928,0.1396197789654464,0.255874941957579,-0.02085714285714285,0.004357142857142853,0.009499999999999996,14,14,High volatility
v2_sigma_low,0.0,0.0,0.0,0.0,-0.0002720844897934021,0.07683601271310321,0.07656392822330867,-0.0032142857142857134,-0.0032857142857142924,-0.022071428571428558,14,14,Low volatility
v2_spread_home_minus3,3.0,0.0,-3.0,0.0,1.511986616222244,-1.46750777248454,0.044478843737704006,0.09846428571428571,0.0012857142857142909,0.0067857142857142795,14,14,Spread home -3.0
v2_spread_home_plus3,-3.0,0.0,3.0,0.0,-1.521321312112325,1.6131513184517055,0.09183000633937967,-0.1127857142857143,-0.0018214285714285691,3.571428571428178e-05,14,14,Spread home +3.0
v2_total_minus3,0.0,-2.623006332192539,0.0,-3.0,-1.366769238109877,-1.2612830013179717,-2.628052239427848,-0.006714285714285709,-0.0021428571428571486,0.013678571428571425,14,14,Total -3.0
v2_total_plus3,0.0,2.623006332192539,0.0,3.0,1.3064551589108433,1.2967489162466157,2.6032040751574597,-0.0029285714285714293,0.003857142857142853,-0.015928571428571427,14,14,Total +3.0
v2_wind_plus10,0.0,-0.5,0.0,0.0,-0.2777155619441246,-0.20893192402747193,-0.486647485971595,-0.006000000000000011,-0.0019642857142857123,-0.011821428571428575,14,14,Wind +10mph (open)
v2_wind_plus20,0.0,-1.0,0.0,0.0,-0.4744040548210783,-0.4501826306638508,-0.924586685484929,-0.0047499999999999955,0.002535714285714288,-0.022928571428571434,14,14,Wind +20mph (open)
