bin_low,bin_high,count,pred_mean,obs_rate
0.49160000000000004,0.4989,11,0.496843028015115,0.7272727272727273
0.4989,0.5003,11,0.499713090481645,0.45454545454545453
0.5003,0.5015,10,0.5009746954879586,0.6
0.5015,0.5027,11,0.5022573493056112,0.36363636363636365
0.5027,0.5038,10,0.503134284023818,0.6
0.5038,0.5042,11,0.5039740807638765,0.36363636363636365
0.5042,0.5052,10,0.5048282522268945,0.4
0.5052,0.5061,11,0.5057889719333468,0.36363636363636365
0.5061,0.5075,10,0.506570650829132,0.5
0.5075,0.5146,11,0.5095096804585328,0.45454545454545453
