bin_low,bin_high,count,pred_mean,obs_rate
0.425,0.497,11,0.47460411670412433,0.5454545454545454
0.497,0.52,11,0.5095367506273384,0.5454545454545454
0.52,0.538,11,0.5295552947382443,0.45454545454545453
0.538,0.547,10,0.5419279824793588,0.5
0.547,0.553,11,0.5502696219954917,0.6363636363636364
0.553,0.562,11,0.5583604486428557,0.36363636363636365
0.562,0.571,10,0.5663620743511387,0.4
0.571,0.59,11,0.5793923170396931,0.36363636363636365
0.59,0.605,11,0.5977825373539535,0.2727272727272727
0.605,0.649,11,0.6242349793742462,0.45454545454545453
