bin_low,bin_high,count,pred_mean,obs_rate
0.425,0.489,13,0.4690377722032079,0.6153846153846154
0.489,0.51,12,0.5002536647861037,0.5
0.51,0.533,12,0.5218301325114074,0.5833333333333334
0.533,0.544,12,0.5371816248064113,0.5833333333333334
0.544,0.551,12,0.5469251172353403,0.5833333333333334
0.551,0.559,12,0.5547049994829247,0.3333333333333333
0.559,0.568,12,0.5637445426734016,0.5
0.568,0.587,12,0.5752642995607256,0.3333333333333333
0.587,0.604,12,0.5954512739814201,0.3333333333333333
0.604,0.649,13,0.6211170232335887,0.38461538461538464
