bin_low,bin_high,count,pred_mean,obs_rate
0.776,0.82,11,0.791947701159676,0.5454545454545454
0.82,0.822,13,0.8219886610632372,0.46153846153846156
0.822,0.842,10,0.8381106526518325,0.4
0.842,0.861,9,0.8495445570984228,0.5555555555555556
0.861,0.871,12,0.8660220237129693,0.4166666666666667
0.871,0.891,9,0.8851484249578702,0.3333333333333333
0.891,0.935,14,0.9117906947524049,0.5714285714285714
0.935,0.968,9,0.9612537204764747,0.6666666666666666
0.968,0.983,11,0.9812894356606997,0.36363636363636365
0.983,0.984,9,0.9835068284048012,0.6666666666666666
