bin_low,bin_high,count,pred_mean,obs_rate
0.776,0.821,11,0.791947701159676,0.5454545454545454
0.821,0.822,13,0.8219886610632372,0.46153846153846156
0.822,0.842,10,0.8381106526518325,0.4
0.842,0.864,15,0.8553173659347508,0.5333333333333333
0.864,0.871,6,0.8680674682366956,0.3333333333333333
0.871,0.893,11,0.8864916450466168,0.36363636363636365
0.893,0.935,13,0.9151516615927018,0.6153846153846154
0.935,0.968,9,0.9612537204764747,0.6666666666666666
0.968,0.983,11,0.9812894356606997,0.36363636363636365
0.983,0.984,10,0.9835261067239982,0.6
