stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,295,0.9254237288135593,v2_baseline,0.04832775919732441
pass_attempts,295,0.9084745762711864,v2_baseline,0.7011705685618729
pass_tds,295,0.9186440677966101,v2_baseline,0.0948494983277592
pass_yards,295,0.9152542372881356,v2_baseline,6.118729096989966
rec_tds,295,0.36271186440677966,v2_baseline,0.24545150501672236
rec_yards,295,0.17966101694915254,v2_baseline,17.006354515050166
receptions,295,0.18305084745762712,v2_baseline,1.461103678929766
rush_attempts,295,0.5898305084745763,v2_baseline,1.7380267558528426
rush_tds,295,0.7220338983050848,v2_baseline,0.11401337792642141
rush_yards,295,0.5796610169491525,v2_baseline,8.08494983277592
targets,295,0.16610169491525423,v2_baseline,2.0790635451505017
