scenario_id,scenario_label,season,week,game_id,team,pass_attempts,rush_attempts,targets,receptions,pass_yards,rush_yards,rec_yards,pass_tds,rush_tds,rec_tds
v2_baseline,Baseline,2025,18,2025_18_ARI_LA,Arizona Cardinals,32.29,16.509999999999998,35.88,22.79,206.4,68.4,232.0,1.81,0.4,2.53
v2_baseline,Baseline,2025,18,2025_18_ARI_LA,Los Angeles Rams,41.62,21.47,42.62,27.39,230.4,66.2,190.6,3.2,1.2799999999999998,4.57
v2_baseline,Baseline,2025,18,2025_18_BAL_PIT,Baltimore Ravens,31.08,39.599999999999994,30.07,19.740000000000002,217.6,155.6,176.10000000000002,1.68,2.27,1.72
v2_baseline,Baseline,2025,18,2025_18_BAL_PIT,Pittsburgh Steelers,41.96,25.88,43.599999999999994,28.35,221.5,81.0,183.8,2.21,0.93,2.71
v2_baseline,Baseline,2025,18,2025_18_CAR_TB,Carolina Panthers,34.29,19.8,32.97,21.29,182.0,60.7,155.1,1.17,0.4,1.36
v2_baseline,Baseline,2025,18,2025_18_CAR_TB,Tampa Bay Buccaneers,44.88,21.6,47.31999999999999,30.62,292.2,86.3,264.9,2.61,0.4,3.18
v2_baseline,Baseline,2025,18,2025_18_CLE_CIN,Cincinnati Bengals,41.12,29.58,39.42,25.990000000000002,271.8,122.2,218.5,2.66,1.26,3.21
v2_baseline,Baseline,2025,18,2025_18_CLE_CIN,Cleveland Browns,33.01,25.840000000000003,31.509999999999998,19.009999999999998,168.9,90.4,149.1,1.62,0.6799999999999999,1.67
v2_baseline,Baseline,2025,18,2025_18_DAL_NYG,Dallas Cowboys,38.22,33.65,36.09,23.73,255.4,164.1,223.0,1.63,0.8400000000000001,1.61
v2_baseline,Baseline,2025,18,2025_18_DAL_NYG,New York Giants,41.14,29.51,39.739999999999995,25.6,283.8,122.0,257.1,1.93,0.8200000000000001,2.0300000000000002
v2_baseline,Baseline,2025,18,2025_18_DET_CHI,Chicago Bears,44.52,20.97,45.95,28.97,291.0,88.0,276.3,1.88,0.65,2.44
v2_baseline,Baseline,2025,18,2025_18_DET_CHI,Detroit Lions,37.19,33.75,35.74,24.11,213.4,104.69999999999999,175.0,1.37,0.6799999999999999,1.3
v2_baseline,Baseline,2025,18,2025_18_GB_MIN,Green Bay Packers,36.0,16.5,35.67,23.6,244.9,69.7,213.4,1.68,0.35000000000000003,1.87
v2_baseline,Baseline,2025,18,2025_18_GB_MIN,Minnesota Vikings,31.95,31.03,30.9,20.18,163.5,112.0,134.7,2.26,1.23,2.3600000000000003
v2_baseline,Baseline,2025,18,2025_18_IND_HOU,Houston Texans,34.63,37.16,32.8,21.09,193.6,119.6,148.8,2.18,1.71,2.8200000000000003
v2_baseline,Baseline,2025,18,2025_18_IND_HOU,Indianapolis Colts,42.79,27.79,41.39,25.810000000000002,296.3,119.9,286.5,2.85,1.09,3.06
v2_baseline,Baseline,2025,18,2025_18_KC_LV,Kansas City Chiefs,33.21,23.21,32.11,20.92,169.9,71.0,135.0,1.92,0.88,2.05
v2_baseline,Baseline,2025,18,2025_18_KC_LV,Las Vegas Raiders,42.48,24.83,43.620000000000005,27.59,232.0,76.89999999999999,216.5,1.27,0.43000000000000005,1.35
v2_baseline,Baseline,2025,18,2025_18_LAC_DEN,Denver Broncos,41.33,26.36,43.05,28.41,272.2,110.5,258.0,2.19,0.8400000000000001,2.69
v2_baseline,Baseline,2025,18,2025_18_LAC_DEN,Los Angeles Chargers,43.59,21.6,46.28,30.990000000000002,236.3,67.8,226.1,1.49,0.35,1.66
v2_baseline,Baseline,2025,18,2025_18_MIA_NE,Miami Dolphins,26.34,29.26,25.369999999999997,16.28,182.4,127.0,154.1,1.2,0.83,1.25
v2_baseline,Baseline,2025,18,2025_18_MIA_NE,New England Patriots,32.92,36.0,33.21,22.25,214.7,152.8,207.1,1.55,1.18,1.9
v2_baseline,Baseline,2025,18,2025_18_NO_ATL,Atlanta Falcons,33.78,39.61,30.259999999999998,19.39,211.0,140.7,192.5,1.52,1.54,1.69
v2_baseline,Baseline,2025,18,2025_18_NO_ATL,New Orleans Saints,41.47,26.25,36.15,22.34,287.1,117.9,223.4,2.09,0.7200000000000001,1.9300000000000002
v2_baseline,Baseline,2025,18,2025_18_NYJ_BUF,Buffalo Bills,36.66,26.0,36.5,24.39,204.7,88.3,179.6,1.89,0.9,2.2199999999999998
v2_baseline,Baseline,2025,18,2025_18_NYJ_BUF,New York Jets,29.55,24.06,28.58,18.009999999999998,164.6,81.0,144.8,1.34,0.57,1.4
v2_baseline,Baseline,2025,18,2025_18_SEA_SF,San Francisco 49ers,37.37,30.990000000000002,38.629999999999995,25.65,265.1,134.2,226.7,1.8,0.9500000000000001,2.09
v2_baseline,Baseline,2025,18,2025_18_SEA_SF,Seattle Seahawks,32.43,37.66,32.38,22.89,179.1,116.6,144.2,1.91,1.55,2.2800000000000002
v2_baseline,Baseline,2025,18,2025_18_TEN_JAX,Jacksonville Jaguars,40.81,27.130000000000003,41.88,26.93,227.6,103.3,206.9,2.06,1.02,2.74
v2_baseline,Baseline,2025,18,2025_18_TEN_JAX,Tennessee Titans,44.15,26.27,42.68,27.23,291.0,107.0,270.4,2.5,0.81,2.57
v2_baseline,Baseline,2025,18,2025_18_WAS_PHI,Philadelphia Eagles,35.71,32.6,36.61,24.13,195.9,97.4,161.4,2.04,1.4,2.65
