bin_low,bin_high,count,pred_mean,obs_rate
0.4875,0.4985,11,0.49532773205226804,0.7272727272727273
0.4985,0.5005,11,0.499507010842338,0.5454545454545454
0.5005,0.5023,11,0.5014721858848779,0.5454545454545454
0.5023,0.5041,11,0.5035014161715943,0.36363636363636365
0.5041,0.5059,10,0.5048316222016054,0.6
0.5059,0.5064,10,0.5060671351502883,0.4
0.5064,0.5079,11,0.5073069850084616,0.36363636363636365
0.5079,0.5092,10,0.5087973065102072,0.4
0.5092,0.5114,11,0.5099604396505238,0.45454545454545453
0.5114,0.5221,11,0.5144608606837142,0.45454545454545453
