week,n_games,acc_home_win,acc_spread_cover,acc_over_under,mae_margin,mae_total,home_pred_rate,acc_pred_home,acc_pred_away,acc_actual_home,acc_actual_away
1,16,0.75,0.0,0.0,8.36981981061399,12.619017839431763,0.4375,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.8571428571428571
2,16,0.75,,,9.734565027058125,14.635660648345947,0.6875,0.6363636363636364,1.0,1.0,0.5555555555555556
3,16,0.5625,0.4375,0.75,12.422544279135764,12.772388696670532,0.5625,0.7777777777777778,0.2857142857142857,0.5833333333333334,0.5
4,16,0.6875,0.625,0.5,8.914816834032536,9.763671875,0.625,0.8,0.5,0.7272727272727273,0.6
5,14,0.42857142857142855,0.5,0.5,13.030670113329377,10.398477554321289,0.7142857142857143,0.3,0.75,0.75,0.3
6,15,0.7333333333333333,0.4666666666666667,0.4666666666666667,7.685161874691645,12.235077158610027,0.6,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666
7,15,0.7333333333333333,0.4666666666666667,0.4666666666666667,11.74825512568156,16.536234537760418,0.6,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666
8,13,0.7692307692307693,0.38461538461538464,0.7692307692307693,13.283763802968538,12.453711583064152,0.8461538461538461,0.7272727272727273,1.0,1.0,0.4
9,14,0.7142857142857143,0.5,0.42857142857142855,9.392537542751857,11.63708986554827,0.5714285714285714,0.5,1.0,1.0,0.6
10,14,0.6428571428571429,0.5714285714285714,0.5,12.019349711281913,14.96845953805106,0.7857142857142857,0.6363636363636364,0.6666666666666666,0.875,0.3333333333333333
11,15,0.6,0.4666666666666667,0.5333333333333333,9.0448716878891,10.1516237894694,0.5333333333333333,0.625,0.5714285714285714,0.625,0.5714285714285714
12,14,0.6428571428571429,0.5714285714285714,0.42857142857142855,8.346745133399963,12.982458114624023,0.5714285714285714,0.75,0.5,0.6666666666666666,0.6
13,16,0.625,0.625,0.5,10.00894308835268,12.124950289726257,0.625,0.6,0.6666666666666666,0.75,0.5
14,14,0.42857142857142855,0.42857142857142855,0.42857142857142855,15.374726602009364,9.859921046665736,0.5714285714285714,0.375,0.5,0.5,0.375
15,16,0.75,0.625,0.375,8.503765158355236,16.31819796562195,0.625,0.8,0.6666666666666666,0.8,0.6666666666666666
16,16,0.5,0.375,0.125,12.564538974314928,15.958845019340515,0.5,0.375,0.625,0.5,0.5
17,16,0.4375,0.4375,0.4375,12.541898354887962,12.663072347640991,0.5625,0.3333333333333333,0.5714285714285714,0.5,0.4
18,16,0.625,0.5625,0.5625,10.326317518949509,13.765281438827515,0.75,0.75,0.25,0.75,0.25
