stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,295,0.9016949152542373,v2_baseline,0.07127090301003344
pass_attempts,295,0.911864406779661,v2_baseline,0.7576254180602007
pass_tds,295,0.911864406779661,v2_baseline,0.10347826086956523
pass_yards,295,0.911864406779661,v2_baseline,6.418729096989966
rec_tds,295,0.3288135593220339,v2_baseline,0.31605351170568563
rec_yards,295,0.21016949152542372,v2_baseline,19.762876254180604
receptions,295,0.2135593220338983,v2_baseline,1.5079264214046824
rush_attempts,295,0.576271186440678,v2_baseline,1.8391638795986625
rush_tds,295,0.6847457627118644,v2_baseline,0.13785953177257523
rush_yards,295,0.576271186440678,v2_baseline,8.416722408026757
targets,295,0.17288135593220338,v2_baseline,2.218862876254181
