stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,299,0.8996655518394648,v2_baseline,0.08033003300330033
pass_attempts,299,0.9063545150501672,v2_baseline,0.8176567656765676
pass_tds,299,0.9096989966555183,v2_baseline,0.06854785478547855
pass_yards,299,0.8963210702341137,v2_baseline,6.871947194719473
rec_tds,299,0.29431438127090304,v2_baseline,0.3024092409240924
rec_yards,299,0.21739130434782608,v2_baseline,15.717491749174917
receptions,299,0.2140468227424749,v2_baseline,1.302112211221122
rush_attempts,299,0.5652173913043478,v2_baseline,1.6412541254125412
rush_tds,299,0.6789297658862876,v2_baseline,0.12184818481848185
rush_yards,299,0.568561872909699,v2_baseline,7.934653465346534
targets,299,0.1806020066889632,v2_baseline,1.9277887788778882
