scenario_id,scenario_label,season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_ref,total_ref,home_points_mean,away_points_mean,total_points_mean,prob_home_win_mc,prob_home_cover_mc,prob_over_total_mc,scenario_wind_open_add_mph,scenario_wx_precip_add_pct,scenario_wx_temp_add_f,scenario_home_inj_starters_add,scenario_away_inj_starters_add,scenario_neutral_site_flag,scenario_sim_market_blend_margin,scenario_sim_market_blend_total
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_CLE_PIT,Pittsburgh Steelers,Cleveland Browns,6.705564800844109,37.96095357330318,-5.5,38.5,22.452049392481925,15.761376316395673,38.213425708877594,0.7695,0.557,0.4915,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_DAL_CAR,Carolina Panthers,Dallas Cowboys,-4.469585429542775,46.45400992884456,3.5,47.5,21.317609515137015,25.328964237748394,46.64657375288541,0.3335,0.478,0.4785,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_DEN_NYJ,New York Jets,Denver Broncos,-8.28953504384973,43.11427849887515,6.5,43.5,17.711602457453075,25.828001155706026,43.53960361315911,0.1755,0.4245,0.4915,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_DET_KC,Kansas City Chiefs,Detroit Lions,0.5042097874163354,47.51773877892889,-1.5,48.5,23.86789594312393,23.45629633782492,47.32419228094885,0.5155,0.45,0.4565,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_LAC_MIA,Miami Dolphins,Los Angeles Chargers,-4.9523812288146845,44.33956218998174,5.5,45.5,19.567519230057318,24.792537444777633,44.36005667483495,0.284,0.5195,0.456,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_LA_BAL,Baltimore Ravens,Los Angeles Rams,-7.446219287080039,44.640319165601994,5.5,44.5,18.889686228138256,26.210458757897023,45.100144986035275,0.2025,0.4135,0.51,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_NE_NO,New Orleans Saints,New England Patriots,-4.085837085593666,43.748993295212244,3.5,44.5,20.01189830649059,23.754352255220766,43.76625056171136,0.3265,0.4885,0.4745,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_PHI_NYG,New York Giants,Philadelphia Eagles,-8.051337367115595,42.29455215758119,7.0,42.5,17.017424081411146,25.189368774524834,42.20679285593599,0.1815,0.462,0.491,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_SEA_JAX,Jacksonville Jaguars,Seattle Seahawks,1.5197157083136839,45.22277030396109,-1.5,45.5,23.608281874609347,22.00173596979166,45.61001784440101,0.5725,0.5115,0.501,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_SF_TB,Tampa Bay Buccaneers,San Francisco 49ers,2.450536783954344,45.37971198448501,-2.5,46.5,23.864263616461734,21.315177500285344,45.179441116747086,0.6115,0.4975,0.476,0.0,0.0,0.0,0,0,,0.1,0.2
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,6,2025_06_TEN_LV,Las Vegas Raiders,Tennessee Titans,5.429605800643679,41.9346185192397,-6.5,41.5,23.70746192612667,18.120782969251618,41.8282448953783,0.748,0.454,0.5145,0.0,0.0,0.0,0,0,,0.1,0.2
v2_cold_minus15,Temp -15F,2025,6,2025_06_ARI_IND,Indianapolis Colts,Arizona Cardinals,5.34211571153567,45.538672827034446,-3.5,47.5,25.644579627888778,20.16366548650906,45.80824511439784,0.728,0.5825,0.458,0.0,0.0,-15.0,0,0,,,
v2_cold_minus15,Temp -15F,2025,6,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,-5.988815218129576,48.66349501742842,5.5,50.5,21.521354485770914,27.49107075032251,49.01242523609342,0.2355,0.48,0.456,0.0,0.0,-15.0,0,0,,,
