stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,269,0.895910780669145,v2_baseline,0.07549090909090908
pass_attempts,269,0.8921933085501859,v2_baseline,0.9159999999999999
pass_tds,269,0.8996282527881041,v2_baseline,0.0938909090909091
pass_yards,269,0.895910780669145,v2_baseline,5.583636363636364
rec_tds,269,0.24907063197026022,v2_baseline,0.2977818181818182
rec_yards,269,0.21561338289962825,v2_baseline,18.262545454545453
receptions,269,0.1895910780669145,v2_baseline,1.5043272727272725
rush_attempts,269,0.5613382899628253,v2_baseline,1.5923272727272728
rush_tds,269,0.6802973977695167,v2_baseline,0.1132
rush_yards,269,0.5650557620817844,v2_baseline,8.102909090909092
targets,269,0.17472118959107807,v2_baseline,2.276036363636364
