week,n_games,acc_home_win,acc_spread_cover,acc_over_under,mae_margin,mae_total,home_pred_rate,acc_pred_home,acc_pred_away,acc_actual_home,acc_actual_away
1,16,0.4375,1.0,1.0,,11.487432956695557,0.0,,0.4375,0.0,1.0
2,16,0.5625,,,,11.201941728591919,0.0,,0.5625,0.0,1.0
3,16,0.25,0.4375,0.6875,,9.975273132324219,0.0,,0.25,0.0,1.0
4,16,0.3125,0.25,0.5625,,9.706653594970703,0.0,,0.3125,0.0,1.0
5,14,0.7142857142857143,0.6428571428571429,0.42857142857142855,,11.59794534955706,0.0,,0.7142857142857143,0.0,1.0
6,15,0.4,0.3333333333333333,0.7333333333333333,,8.98819808959961,0.0,,0.4,0.0,1.0
7,15,0.4,0.4,0.6,,12.506835174560546,0.0,,0.4,0.0,1.0
8,13,0.38461538461538464,0.38461538461538464,0.6923076923076923,,8.27709462092473,0.0,,0.38461538461538464,0.0,1.0
9,14,0.7142857142857143,0.6428571428571429,0.5,,11.472222191946846,0.0,,0.7142857142857143,0.0,1.0
10,14,0.42857142857142855,0.5714285714285714,0.6428571428571429,,13.742383139474052,0.0,,0.42857142857142855,0.0,1.0
11,15,0.4666666666666667,0.4,0.6,,10.729563903808593,0.0,,0.4666666666666667,0.0,1.0
12,14,0.35714285714285715,0.5,0.5,,10.274993624006,0.0,,0.35714285714285715,0.0,1.0
13,16,0.5625,0.625,0.625,7.56238590478897,10.549392461776733,0.0625,1.0,0.5333333333333333,0.125,1.0
14,14,0.5714285714285714,0.5714285714285714,0.42857142857142855,,12.169596535818917,0.0,,0.5714285714285714,0.0,1.0
15,16,0.375,0.4375,0.5,,15.996583223342896,0.0,,0.375,0.0,1.0
16,16,0.625,0.75,0.5,6.626453828811646,13.867116212844849,0.0,,0.625,0.0,1.0
17,16,0.625,0.625,0.4375,,12.776942253112793,0.0,,0.625,0.0,1.0
