stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,299,0.903010033444816,v2_baseline,0.06368770764119602
pass_attempts,299,0.9130434782608695,v2_baseline,0.6656146179401994
pass_tds,299,0.9130434782608695,v2_baseline,0.08744186046511628
pass_yards,299,0.9063545150501672,v2_baseline,6.206976744186045
rec_tds,299,0.3177257525083612,v2_baseline,0.2661794019933555
rec_yards,299,0.21070234113712374,v2_baseline,16.929568106312292
receptions,299,0.21739130434782608,v2_baseline,1.4342524916943522
rush_attempts,299,0.5886287625418061,v2_baseline,1.765747508305648
rush_tds,299,0.6956521739130435,v2_baseline,0.11269102990033224
rush_yards,299,0.6020066889632107,v2_baseline,8.093687707641195
targets,299,0.1705685618729097,v2_baseline,2.1412956810631227
