scenario_id,scenario_label,season,week,game_id,team,pass_attempts,rush_attempts,targets,receptions,pass_yards,rush_yards,rec_yards,pass_tds,rush_tds,rec_tds
v2_baseline,Baseline,2025,13,2025_13_ARI_TB,Arizona Cardinals,39.97,21.59,46.96,29.61,206.0,67.8,214.2,1.01,0.14,1.27
v2_baseline,Baseline,2025,13,2025_13_ARI_TB,Tampa Bay Buccaneers,42.54,25.72,43.58,27.55,232.0,79.6,198.70000000000002,2.08,0.63,2.2800000000000002
v2_baseline,Baseline,2025,13,2025_13_ATL_NYJ,Atlanta Falcons,35.58,37.34,32.64,20.439999999999998,198.8,110.9,170.6,1.59,1.03,1.79
v2_baseline,Baseline,2025,13,2025_13_ATL_NYJ,New York Jets,31.81,26.369999999999997,35.19,20.9,209.6,111.1,218.0,1.38,0.72,1.83
v2_baseline,Baseline,2025,13,2025_13_BUF_PIT,Buffalo Bills,43.54,22.15,46.46,30.310000000000002,238.6,74.5,242.20000000000002,1.79,0.53,2.0300000000000002
v2_baseline,Baseline,2025,13,2025_13_BUF_PIT,Pittsburgh Steelers,36.13,35.0,34.54,21.71,220.8,137.1,197.6,0.94,0.39,0.74
v2_baseline,Baseline,2025,13,2025_13_CHI_PHI,Chicago Bears,42.97,26.28,43.2,26.36,246.4,92.7,220.5,1.46,0.54,1.79
v2_baseline,Baseline,2025,13,2025_13_CHI_PHI,Philadelphia Eagles,42.84,21.599999999999998,46.78,29.86,265.5,78.3,247.2,1.85,0.44,2.34
v2_baseline,Baseline,2025,13,2025_13_CIN_BAL,Baltimore Ravens,34.85,34.230000000000004,34.7,21.98,223.6,123.80000000000001,190.6,2.11,1.3599999999999999,2.43
v2_baseline,Baseline,2025,13,2025_13_CIN_BAL,Cincinnati Bengals,43.22,27.42,42.15,27.07,276.3,108.3,231.6,1.83,0.61,1.81
v2_baseline,Baseline,2025,13,2025_13_DEN_WAS,Denver Broncos,43.39,23.61,45.74,29.4,246.8,81.4,247.9,2.18,0.73,2.69
v2_baseline,Baseline,2025,13,2025_13_DEN_WAS,Washington Commanders,35.22,34.39,34.43,21.4,201.8,114.0,191.7,1.28,0.76,1.35
v2_baseline,Baseline,2025,13,2025_13_GB_DET,Detroit Lions,44.4,22.57,45.94,31.0,302.6,93.5,266.4,2.44,0.88,3.05
v2_baseline,Baseline,2025,13,2025_13_GB_DET,Green Bay Packers,32.43,39.6,30.35,19.34,195.7,139.8,160.1,1.46,1.42,1.5
v2_baseline,Baseline,2025,13,2025_13_HOU_IND,Houston Texans,39.4,29.79,39.54,24.04,221.7,95.5,184.6,1.8,0.89,2.16
v2_baseline,Baseline,2025,13,2025_13_HOU_IND,Indianapolis Colts,42.79,22.28,44.19,26.93,276.0,89.6,302.2,2.23,0.8200000000000001,3.17
v2_baseline,Baseline,2025,13,2025_13_JAX_TEN,Jacksonville Jaguars,39.52,29.509999999999998,39.47,24.68,211.6,106.0,184.1,1.8,0.92,2.3200000000000003
v2_baseline,Baseline,2025,13,2025_13_JAX_TEN,Tennessee Titans,48.0,21.6,46.85,28.54,327.9,89.69999999999999,287.2,2.21,0.49,2.25
