scenario_id,delta_pred_margin,delta_pred_total,delta_spread_ref,delta_total_ref,delta_home_points_mean,delta_away_points_mean,delta_total_points_mean,delta_prob_home_win_mc,delta_prob_home_cover_mc,delta_prob_over_total_mc,n_games_applies,n_games,scenario_label
v2_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Baseline
v2_blend_10_20,0.0,-0.08110674227973647,0.0,0.0,-0.560507605073612,0.15090403968820354,-0.40960356538540665,-0.02149999999999999,-0.025999999999999995,-0.010999999999999982,2,2,Market blend m=0.10 t=0.20
v2_cold_minus15,0.0,0.0,0.0,0.0,-0.2337642787662233,0.15021056134517963,-0.08355371742104012,-0.02124999999999999,-0.010999999999999982,0.0012500000000000011,2,2,Temp -15F
v2_elo_minus100,-0.08000000000000007,0.0,0.0,0.0,-0.3495119969395706,0.35445493767885594,0.004942940739294244,-0.006000000000000033,-0.0069999999999999785,-0.007249999999999979,2,2,Home Elo -100 (diff)
v2_elo_plus100,0.08000000000000007,0.0,0.0,0.0,0.011203481272810123,0.0033100304779836165,0.014513511750795516,-0.012250000000000011,-0.007499999999999979,0.0025000000000000022,2,2,Home Elo +100 (diff)
v2_inj_away_plus1,0.0,-0.40000000000000213,0.0,0.0,-0.18757942674925054,-0.07064458235054438,-0.2582240090997878,-0.0030000000000000027,0.0022500000000000298,-0.0072500000000000064,2,2,Away starters out +1
v2_inj_away_plus2,0.0,-0.8000000000000007,0.0,0.0,-0.4493885385633831,-0.21766775827846985,-0.6670562968418459,-0.011499999999999982,-0.010999999999999982,-0.01974999999999999,2,2,Away starters out +2
v2_inj_home_plus1,0.0,-0.40000000000000213,0.0,0.0,-0.1377098955471503,-0.38570995642920813,-0.5234198519763531,-0.004750000000000032,0.0,-0.01899999999999999,2,2,Home starters out +1
v2_inj_home_plus2,0.0,-0.8000000000000007,0.0,0.0,-0.7122193454997952,-0.15162271352867762,-0.8638420590284674,-0.010999999999999982,0.0005000000000000004,-0.029249999999999998,2,2,Home starters out +2
v2_neutral_site,0.0,0.0,0.0,0.0,-0.025684280171761387,-0.04471013826992021,-0.07039441844166916,0.0014999999999999736,0.004500000000000004,-0.004999999999999977,2,2,Neutral site
v2_precip_plus25,0.0,0.0,0.0,0.0,-0.3442759262123989,0.16478641760824608,-0.1794895086041528,-0.005500000000000005,-0.005999999999999978,-0.0022499999999999742,2,2,Precip +25%
v2_precip_plus50,0.0,0.0,0.0,0.0,-0.2780027847747206,0.11863767022980021,-0.1593651145449151,-0.012749999999999984,-0.004500000000000004,-0.010499999999999982,2,2,Precip +50%
v2_pressure_plus005,0.0,0.0,0.0,0.0,-0.5083929059386048,0.3260840729630914,-0.18230883297550804,-0.015250000000000014,-0.011499999999999982,-0.005999999999999978,2,2,Home/away pressure +0.05
v2_rest_minus7,-0.15000000000000013,0.0,0.0,0.0,-0.14325455988962688,0.13700525992701174,-0.0062492999626115875,-0.01175000000000001,-0.007500000000000007,-0.0037500000000000033,2,2,Home rest -7 days (diff)
v2_rest_plus7,0.1499999999999997,0.0,0.0,0.0,0.08004005115596868,-0.26594495350760816,-0.1859049023516377,0.01200000000000001,0.008000000000000007,-0.010749999999999982,2,2,Home rest +7 days (diff)
v2_sigma_high,0.0,0.0,0.0,0.0,0.00757311144787387,0.06912560343821283,0.07669871488608848,-0.01150000000000001,-0.0027499999999999747,0.0037500000000000033,2,2,High volatility
v2_sigma_low,0.0,0.0,0.0,0.0,-0.4788568540522,0.04458246983688241,-0.4342743842153105,-0.048250000000000015,-0.014250000000000013,-0.035250000000000004,2,2,Low volatility
v2_spread_home_minus3,3.0,0.0,-3.0,0.0,1.3013127783209981,-1.3260774184528223,-0.024764640131817117,0.04100000000000001,-0.009500000000000008,0.0,2,2,Spread home -3.0
v2_spread_home_plus3,-2.9999999999999996,0.0,3.0,0.0,-1.8891915618342106,1.9540754980703117,0.06488393623610023,-0.07925000000000001,-0.02074999999999999,0.005499999999999977,2,2,Spread home +3.0
v2_total_minus3,0.0,-2.6608204442427414,0.0,-3.0,-1.42746821936597,-1.2937310638276092,-2.721199283193574,0.0007499999999999729,-0.0040000000000000036,0.012500000000000011,2,2,Total -3.0
v2_total_plus3,0.0,2.660820444242745,0.0,3.0,0.7693081950053724,1.194011702863758,1.963319897869134,-0.014999999999999986,-0.013250000000000012,-0.023249999999999993,2,2,Total +3.0
v2_wind_plus10,0.0,-0.5,0.0,0.0,-0.3316273765959963,-0.29786851487337707,-0.6294958914693716,-0.007000000000000034,-0.0062500000000000056,-0.02124999999999999,2,2,Wind +10mph (open)
v2_wind_plus20,0.0,-1.0,0.0,0.0,-0.29495347703482366,-0.5787650862313622,-0.8737185632661841,0.009000000000000008,0.0050000000000000044,-0.023999999999999994,2,2,Wind +20mph (open)
