scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Kenneth Walker III,RB,00-0038134,0.0,0.0,0.0,0.0,15.66,47.2,0.64,5.17,3.38,19.3,0.34,0.6246889011486004,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Velus Jones Jr.,RB,00-0037745,0.0,0.0,0.0,0.0,8.7,28.6,0.21,3.21,1.67,14.0,0.21,0.34295318018494325,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,AJ Barner,TE,00-0039793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,4.72,30.7,0.46,0.36871635449307405,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Elijah Arroyo,TE,00-0040739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Eric Saubert,TE,00-0033576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.19,16.7,0.25,0.22119921692859512,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Cody White,WR,00-0035891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Cooper Kupp,WR,00-0033908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,3.44,24.8,0.4,0.3296799539643607,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Courtney Jackson,WR,00-0040445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Jaxon Smith-Njigba,WR,00-0038543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35,4.91,35.3,0.51,0.3995044211877341,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,21,0.0,2025_21_Los_Angeles_Rams_Seattle_Seahawks,Seattle Seahawks,Rashid Shaheed,WR,00-0037545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,2.28,17.1,0.25,0.22119921692859512,72.0,38.41,30.96,253.5,133.1,2.539758705785577,1.031669865642994,0.960336,1.0,1.0,1.0,1.0
