scenario_id,scenario_label,abs_error_sum,game_id,team,player,player_id,position,rec_yards,rec_yards_act,targets,targets_act,rush_yards,rush_yards_act,pass_yards,pass_yards_act,pick
v2_baseline,Baseline,202.21,2025_19_GB_CHI,Green Bay Packers,Jordan Love,00-0036264,QB,0.0,0.0,0.0,0.0,10.6,0.0,155.7,323.0,baseline
v2_baseline,Baseline,200.59,2025_19_GB_CHI,Chicago Bears,Caleb Williams,00-0039918,QB,0.0,0.0,0.0,0.0,15.3,1.0,197.7,361.0,baseline
v2_baseline,Baseline,133.70000000000002,2025_19_HOU_PIT,Houston Texans,Christian Kirk,00-0034775,WR,20.5,144.0,4.23,9.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,121.07999999999998,2025_19_HOU_PIT,Pittsburgh Steelers,Aaron Rodgers,00-0023459,QB,0.0,0.0,0.0,0.0,7.4,0.0,256.7,146.0,baseline
v2_baseline,Baseline,118.88000000000001,2025_19_GB_CHI,Chicago Bears,Colston Loveland,00-0040126,TE,31.8,137.0,6.38,16.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,115.08000000000001,2025_19_BUF_JAX,Buffalo Bills,Josh Allen,00-0034857,QB,0.0,0.0,0.0,0.0,42.1,20.0,196.1,273.0,baseline
v2_baseline,Baseline,112.91,2025_19_GB_CHI,Green Bay Packers,Romeo Doubs,00-0037816,WR,22.2,124.0,4.9,11.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,106.96000000000001,2025_19_LA_CAR,Carolina Panthers,Jalen Coker,00-0039491,WR,37.7,134.0,7.38,14.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,104.96999999999998,2025_19_LAC_NE,New England Patriots,Drake Maye,00-0039851,QB,0.0,0.0,0.0,1.0,28.5,9.0,197.8,268.0,baseline
v2_baseline,Baseline,98.91,2025_19_SF_PHI,San Francisco 49ers,Demarcus Robinson,00-0032775,WR,18.2,111.0,4.36,7.0,0.0,0.0,0.0,0.0,baseline
v2_baseline,Baseline,97.14,2025_19_SF_PHI,Philadelphia Eagles,Saquon Barkley,00-0034844,RB,24.2,25.0,5.84,7.0,29.5,106.0,0.0,0.0,baseline
v2_baseline,Baseline,95.97,2025_19_LA_CAR,Carolina Panthers,Bryce Young,00-0039150,QB,0.0,0.0,0.0,0.0,10.0,0.0,192.4,264.0,baseline
v2_baseline,Baseline,93.0,2025_19_GB_CHI,Green Bay Packers,Matthew Golden,00-0040667,WR,0.0,84.0,0.0,5.0,0.0,0.0,0.0,0.0,baseline
