bin_low,bin_high,count,pred_mean,obs_rate
0.228,0.424,12,0.3720355870155152,0.5
0.424,0.433,11,0.42830441368195193,0.5454545454545454
0.433,0.441,11,0.4360133408199083,0.45454545454545453
0.441,0.451,12,0.44613183494928665,0.5833333333333334
0.451,0.462,11,0.4552063197583546,0.6363636363636364
0.462,0.47,11,0.4643182970943613,0.2727272727272727
0.47,0.477,12,0.47296093865264893,0.4166666666666667
0.477,0.484,11,0.47976879755526275,0.36363636363636365
0.484,0.502,11,0.4924431234388809,0.5454545454545454
0.502,0.645,12,0.536223840209099,0.4166666666666667
