type,selection,odds,ev_units,ev_pct,prob_selected,prob_over_total,prob_selected_mc,prob_over_total_mc,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id,prob_home_win,prob_home_win_mc
TOTAL,Over 40.5,-110,0.08990218576615394,8.990218576615394,0.5709011449251282,0.5709011449251282,0.4955,0.4955,Medium,"(2, 0.08990218576615394)",2025,15,2025-12-14,Philadelphia Eagles,Las Vegas Raiders,Loss,2025_15_LV_PHI,,
MONEYLINE,Buffalo Bills ML,-410,0.24390243902439024,24.390243902439025,1.0,,0.4485,,High,"(3, 0.24390243902439024)",2025,16,2025-12-21,Cleveland Browns,Buffalo Bills,Win,2025_16_BUF_CLE,0.0,0.5515
MONEYLINE,Kansas City Chiefs ML,-325,0.3076923076923077,30.76923076923077,1.0,,0.657,,High,"(3, 0.3076923076923077)",2025,16,2025-12-21,Tennessee Titans,Kansas City Chiefs,Loss,2025_16_KC_TEN,0.0,0.343
TOTAL,Over 43.5,-110,0.12063249661633313,12.063249661633312,0.5869979744180792,0.5869979744180792,,,Medium,"(2, 0.12063249661633313)",2025,18,2026-01-04,Atlanta Falcons,New Orleans Saints,Loss,2025_18_NO_ATL,,
TOTAL,Over 40.5,-110,0.16780869780284458,16.78086978028446,0.6117093178967281,0.6117093178967281,,,High,"(3, 0.16780869780284458)",2025,18,2026-01-04,Houston Texans,Indianapolis Colts,Win,2025_18_IND_HOU,,
MONEYLINE,Kansas City Chiefs ML,-250,0.3999999999999999,39.99999999999999,1.0,,,,High,"(3, 0.3999999999999999)",2025,18,2026-01-04,Las Vegas Raiders,Kansas City Chiefs,Loss,2025_18_KC_LV,0.0,
MONEYLINE,Houston Texans ML,-155,0.6451612903225805,64.51612903225805,1.0,,0.505,,High,"(3, 0.6451612903225805)",2025,19,2026-01-12,Pittsburgh Steelers,Houston Texans,Push,2025_19_HOU_PIT,0.0,0.495
TOTAL,Under 51.5 (-108),-110,0.20088440647415795,20.088440647415794,0.6235361341308128,0.3764638658691873,0.0,1.0,High,"(3, 0.20088440647415795)",2025,19,2026-01-11,Jacksonville Jaguars,Buffalo Bills,Win,2025_19_BUF_JAX,,
TOTAL,Under 44.5 (-112),-110,0.3379828204469024,33.79828204469024,0.7068588485379862,0.2931411514620138,0.0,1.0,High,"(3, 0.3379828204469024)",2025,19,2026-01-11,Philadelphia Eagles,San Francisco 49ers,Win,2025_19_SF_PHI,,
MONEYLINE,Los Angeles Chargers ML,160,1.6,160.0,1.0,,0.3793333333333333,,High,"(3, 1.6)",2025,19,2026-01-11,New England Patriots,Los Angeles Chargers,Push,2025_19_LAC_NE,0.0,0.6206666666666667
TOTAL,Under 45.5 (-105),-110,0.4969463654298468,49.69463654298468,0.7667286261957752,0.2332713738042248,0.0,1.0,High,"(3, 0.4969463654298468)",2025,19,2026-01-11,New England Patriots,Los Angeles Chargers,Win,2025_19_LAC_NE,,
MONEYLINE,Los Angeles Rams ML,-575,0.17391304347826075,17.391304347826075,1.0,,0.3556666666666667,,High,"(3, 0.17391304347826075)",2025,19,2026-01-10,Carolina Panthers,Los Angeles Rams,Push,2025_19_LA_CAR,0.0,0.6443333333333333
TOTAL,Over 45.5 (-115),-110,0.25785853862608676,25.785853862608676,0.672808055544186,0.672808055544186,1.0,1.0,High,"(3, 0.25785853862608676)",2025,19,2026-01-10,Carolina Panthers,Los Angeles Rams,Loss,2025_19_LA_CAR,,
TOTAL,Under 44.5 (-112),-110,0.3354021288686012,33.54021288686012,0.7054954643079403,0.29450453569205964,0.0,1.0,High,"(3, 0.3354021288686012)",2025,19,2026-01-10,Chicago Bears,Green Bay Packers,Win,2025_19_GB_CHI,,
