scenario_id,delta_pred_margin,delta_pred_total,delta_spread_ref,delta_total_ref,delta_home_points_mean,delta_away_points_mean,delta_total_points_mean,delta_prob_home_win_mc,delta_prob_home_cover_mc,delta_prob_over_total_mc,n_games_applies,n_games,scenario_label
v2_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,Baseline
v2_blend_10_20,-2.9605947323337506e-16,0.12627048797295734,0.0,0.0,0.10018577046782025,0.04107412855700806,0.14125989902482652,0.0019166666666666683,0.004416666666666662,0.009750000000000009,6,6,Market blend m=0.10 t=0.20
v2_cold_minus15,0.0,0.0,0.0,0.0,-0.05568462907182514,-0.10957539628690623,-0.16526002535873494,-0.0029166666666666785,0.005999999999999996,-0.0023333333333333353,6,6,Temp -15F
v2_elo_minus100,-0.07999999999999995,0.0,0.0,0.0,0.12459770660346987,0.021626805813442118,0.14622451241691317,0.0018333333333333073,0.0007499999999999915,0.008750000000000008,6,6,Home Elo -100 (diff)
v2_elo_plus100,0.08000000000000007,0.0,0.0,0.0,0.04874408902682159,0.010195553026504692,0.058939642053328356,0.002083333333333335,-0.00466666666666668,0.0026666666666666783,6,6,Home Elo +100 (diff)
v2_inj_away_plus1,0.0,-0.3999999999999986,0.0,0.0,-0.10308665430283999,-0.21048749908901124,-0.3135741533918536,0.008166666666666643,0.007500000000000007,-0.0028333333333333266,6,6,Away starters out +1
v2_inj_away_plus2,0.0,-0.8000000000000007,0.0,0.0,-0.28327089680016887,-0.2634092099322907,-0.5466801067324608,-0.00316666666666666,-0.0025000000000000022,-0.014083333333333328,6,6,Away starters out +2
v2_inj_home_plus1,0.0,-0.3999999999999986,0.0,0.0,-0.26916971090944547,-0.2050339686841761,-0.4742036795936227,-0.006416666666666663,-0.011333333333333343,-0.008166666666666655,6,6,Home starters out +1
v2_inj_home_plus2,0.0,-0.8000000000000007,0.0,0.0,-0.46726516818701364,-0.3674277723769297,-0.8346929405639459,-0.006666666666666654,-0.00925,-0.02149999999999999,6,6,Home starters out +2
v2_neutral_site,0.0,0.0,0.0,0.0,0.1473065286090479,0.030675287993443472,0.17798181660249193,0.0016666666666666496,0.0023333333333333353,0.008166666666666664,6,6,Neutral site
v2_precip_plus25,0.0,0.0,0.0,0.0,-0.02911971976599048,0.10222962562879445,0.07310990586280634,-0.0029166666666666876,-0.004499999999999986,0.01050000000000001,6,6,Precip +25%
v2_precip_plus50,0.0,0.0,0.0,0.0,-0.056403719701346354,0.004360166868854876,-0.05204355283249148,-0.002250000000000011,-0.00608333333333332,0.004250000000000013,6,6,Precip +50%
v2_pressure_plus005,0.0,-0.7999999999999995,0.0,0.0,-0.3506962265446874,-0.4638371695664348,-0.8145333961111246,0.0004999999999999819,0.005333333333333329,-0.022583333333333316,6,6,Home/away pressure +0.05
v2_rest_minus7,-0.15,0.0,0.0,0.0,-0.11149277589353564,0.06326109293463844,-0.0482316829588972,-0.008416666666666656,-0.01099999999999999,0.000666666666666658,6,6,Home rest -7 days (diff)
v2_rest_plus7,0.14999999999999955,0.0,0.0,0.0,0.13742161108418394,0.011980531655575888,0.14940214273975627,0.008749999999999971,0.0031666666666666696,0.0010000000000000009,6,6,Home rest +7 days (diff)
v2_sigma_high,0.0,0.0,0.0,0.0,0.07546047824775541,0.005726804281306859,0.08118728252906493,0.003083333333333327,-0.0105,0.009083333333333323,6,6,High volatility
v2_sigma_low,0.0,0.0,0.0,0.0,0.12857005833221832,-0.06697864990617812,0.06159140842604316,0.007833333333333322,0.007583333333333331,-0.013333333333333336,6,6,Low volatility
v2_spread_home_minus3,2.9999999999999996,0.0,-3.0,0.0,1.3708846462617938,-1.5071912382180468,-0.13630659195625347,0.10041666666666664,-0.008583333333333332,0.0010833333333333528,6,6,Spread home -3.0
v2_spread_home_plus3,-3.0,0.0,3.0,0.0,-1.6285205590501712,1.548590673132501,-0.07992988591767158,-0.11425,-0.010083333333333333,-0.0005000000000000004,6,6,Spread home +3.0
v2_total_minus3,0.0,-2.62300633219254,0.0,-3.0,-1.243556062367161,-1.361750928881447,-2.6053069912486073,0.0042499999999999856,0.006916666666666664,0.018666666666666675,6,6,Total -3.0
v2_total_plus3,0.0,2.6230063321925385,0.0,3.0,1.325627201116858,1.1905452947138684,2.5161724958307268,0.0025833333333333355,0.005999999999999987,-0.010583333333333333,6,6,Total +3.0
v2_wind_plus10,0.0,-0.5,0.0,0.0,-0.20433179557175554,-0.1704768716158996,-0.37480866718765427,-0.005416666666666671,-0.0065833333333333395,-0.00366666666666667,6,6,Wind +10mph (open)
v2_wind_plus20,0.0,-1.0,0.0,0.0,-0.47576294785548195,-0.4242933309844297,-0.9000562788399146,-0.006916666666666682,-0.005249999999999977,-0.02074999999999999,6,6,Wind +20mph (open)
