season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_ref,total_ref,prob_home_win_mc,prob_home_cover_mc,prob_over_total_mc
2025,19,2025_19_BUF_JAX,Jacksonville Jaguars,Buffalo Bills,-5.362883651276342,61.5,-1.5,51.5,0.2918,0.2366,0.7528
2025,19,2025_19_GB_CHI,Chicago Bears,Green Bay Packers,7.838168865606118,54.5,1.5,44.5,0.813,0.8526,0.7544
2025,19,2025_19_Green Bay Packers_Dallas Cowboys,Dallas Cowboys,Green Bay Packers,-1.6821451302450996,50.906313557211114,,,0.4206,,
2025,19,2025_19_HOU_PIT,Pittsburgh Steelers,Houston Texans,2.087852278604946,48.5,3.0,38.5,0.5936,0.7154,0.7462
2025,19,2025_19_LAC_NE,New England Patriots,Los Angeles Chargers,4.653363231413895,55.5,-3.5,45.5,0.6956,0.5478,0.7492
2025,19,2025_19_LA_CAR,Carolina Panthers,Los Angeles Rams,-0.5,55.5,10.5,45.5,0.4756,0.8676,0.7452
2025,19,2025_19_Los Angeles Rams_Philadelphia Eagles,Philadelphia Eagles,Los Angeles Rams,-2.011349869035296,45.33362478954721,,,0.4162,,
2025,19,2025_19_Miami Dolphins_Buffalo Bills,Buffalo Bills,Miami Dolphins,10.0,44.08648817315338,,,0.865,,
2025,19,2025_19_Pittsburgh Steelers_Kansas City Chiefs,Kansas City Chiefs,Pittsburgh Steelers,-0.6819926572153041,48.82335764232903,,,0.4752,,
2025,19,2025_19_SF_PHI,Philadelphia Eagles,San Francisco 49ers,1.8829682915253079,54.5,-6.0,44.5,0.5734,0.3174,0.7414
