bin_low,bin_high,count,pred_mean,obs_rate
0.418,0.488,12,0.46162339707543637,0.5
0.488,0.508,11,0.4969329906214304,0.6363636363636364
0.508,0.527,11,0.517363178615395,0.45454545454545453
0.527,0.546,12,0.5372101986425933,0.4166666666666667
0.546,0.555,11,0.5504826905491931,0.7272727272727273
0.555,0.563,11,0.5599612638113339,0.45454545454545453
0.563,0.575,12,0.5698375711716817,0.4166666666666667
0.575,0.597,11,0.5838427260750664,0.36363636363636365
0.597,0.613,11,0.6051258288211182,0.36363636363636365
0.613,0.662,12,0.6332202583359029,0.3333333333333333
