scenario_id,scenario_label,season,week,date,game_id,team,player,position,player_id,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,points_scale,vol_scale,yds_scale,td_scale
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Dak Prescott,QB,00-0033077,1.0,39.98,270.8,2.21,0.93,2.83,9.9,0.09,0.0,0.0,0.0,0.0,0.08606881472877181,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Javonte Williams,RB,00-0036997,1.0,0.0,0.0,0.0,0.0,16.29,65.8,0.55,5.33,3.61,25.7,0.31,0.5768379176822512,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Jaydon Blue,RB,00-0040586,1.0,0.0,0.0,0.0,0.0,9.05,42.3,0.19,3.32,2.3,23.0,0.19,0.31613859078764417,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Brevyn Spann-Ford,TE,00-0039530,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Jake Ferguson,TE,00-0038041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,4.66,34.9,0.4,0.3296799539643607,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Luke Schoonmaker,TE,00-0038547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.08,18.8,0.2,0.18126924692201818,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,George Pickens,WR,00-0037247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,5.22,56.5,0.52,0.4054794520298056,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Jalen Cropper,WR,00-0038740,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Jalen Tolbert,WR,00-0037666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,4.04,46.9,0.4,0.3296799539643607,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
v2_baseline,Baseline,2025,5,0.0,2025_05_DAL_NYJ,Dallas Cowboys,Ryan Flournoy,WR,00-0039410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,3.02,32.5,0.26,0.22894841419643375,72.0,41.63,28.17,306.8,135.3,2.361151998640669,0.7690276454600409,1.0408695652173914,1.0,1.0,1.0,1.0,1.0,1.0
