scenario_id,position,scenario_label,n_rows,mae_pass_attempts,mae_pass_yards,mae_pass_tds,mae_interceptions,mae_rush_attempts,mae_rush_yards,mae_rush_tds,mae_targets,mae_receptions,mae_rec_yards,mae_rec_tds,brier_any_td,any_td_rate,mae_mean
v2_baseline,QB,Baseline,30,9.812142857142858,56.91428571428571,1.0760714285714286,0.8153571428571428,3.7078571428571427,14.48571428571429,0.23249999999999996,0.0,0.0,0.0,0.0,0.08273033650328404,0.1,7.913084415584415
v2_blend_10_20,QB,Market blend m=0.10 t=0.20,30,9.765877924303293,56.55775880334119,1.0708978947621202,0.8155185059643115,3.727351056827117,14.561292857786057,0.23291531944292201,0.0,0.0,0.0,0.0,0.08257949910573413,0.1,7.88469203294791
v2_cold_minus15,QB,Temp -15F,30,9.821311211241936,56.93556186374734,1.0784380590968101,0.815201840537078,3.7145742132934267,14.52125117364398,0.23262597953230096,0.0,0.0,0.0,0.0,0.08264577226500729,0.1,7.91990584919026
v2_elo_minus100,QB,Home Elo -100 (diff),30,9.768208704269407,56.79568126987221,1.0732287141492098,0.816440191759218,3.72261359332365,14.555099137121433,0.23292255045048216,0.0,0.0,0.0,0.0,0.08272665179822461,0.1,7.905835832813236
v2_elo_plus100,QB,Home Elo +100 (diff),30,9.761703249134554,56.77368060218997,1.0742151750611122,0.8165341336749438,3.718851017573774,14.537117328205875,0.2329584770892327,0.0,0.0,0.0,0.0,0.08282520794689832,0.1,7.901369089357224
v2_inj_away_plus1,QB,Away starters out +1,30,9.882438625068175,56.65727957796124,1.0722378746926877,0.8137406802715546,3.6861212052570598,14.423896085817448,0.2317247639393143,0.0,0.0,0.0,0.0,0.08266983421213148,0.1,7.887948983000681
v2_inj_away_plus2,QB,Away starters out +2,30,9.878420755659985,56.46405136974102,1.065457326827031,0.813158873070183,3.67357255993451,14.370226596519885,0.23119909191307958,0.0,0.0,0.0,0.0,0.08259375472216274,0.1,7.863280597605972
v2_inj_home_plus1,QB,Home starters out +1,30,9.799375120556165,56.206731372074536,1.0710095272220623,0.8132720620937698,3.6869893796629762,14.42640102315615,0.23193351404662538,0.0,0.0,0.0,0.0,0.0828052210696144,0.1,7.839610181710208
v2_inj_home_plus2,QB,Home starters out +2,30,9.916906566802409,56.806442011119934,1.0688177014208267,0.8126697897232614,3.665578629440323,14.328419417778191,0.23105920122366058,0.0,0.0,0.0,0.0,0.08268365840487477,0.1,7.893626665228054
v2_neutral_site,QB,Neutral site,30,9.789003374177431,56.880718833682515,1.0760841542527475,0.8139388844942267,3.717856308283949,14.550148270686202,0.23273365159280596,0.0,0.0,0.0,0.0,0.08266869185100954,0.1,7.914589407015445
