scenario_id,scenario_label,season,week,game_id,team,pass_attempts,rush_attempts,targets,receptions,pass_yards,rush_yards,rec_yards,pass_tds,rush_tds,rec_tds
v2_baseline,Baseline,2025,7,2025_07_ATL_SF,Atlanta Falcons,35.88,32.349999999999994,37.54,22.43,186.3,96.5,186.7,1.52,0.74,1.6400000000000001
v2_baseline,Baseline,2025,7,2025_07_ATL_SF,San Francisco 49ers,39.32,21.92,46.730000000000004,29.490000000000002,282.1,93.6,261.4,2.14,0.6900000000000001,2.6
v2_baseline,Baseline,2025,7,2025_07_CAR_NYJ,Carolina Panthers,30.24,39.37,30.95,18.57,198.1,162.79999999999998,181.7,1.32,1.13,1.63
v2_baseline,Baseline,2025,7,2025_07_CAR_NYJ,New York Jets,30.53,35.37,34.15,19.91,163.6,104.7,153.3,1.19,0.7999999999999999,1.4
v2_baseline,Baseline,2025,7,2025_07_GB_ARI,Arizona Cardinals,35.99,22.68,46.14,27.89,224.5,86.39999999999999,233.0,1.68,0.56,2.33
v2_baseline,Baseline,2025,7,2025_07_GB_ARI,Green Bay Packers,33.59,31.86,36.81,22.69,226.5,128.3,210.3,2.53,1.58,3.23
v2_baseline,Baseline,2025,7,2025_07_HOU_SEA,Houston Texans,34.69,31.759999999999998,37.46,21.86,237.8,130.0,207.4,1.72,0.79,2.02
v2_baseline,Baseline,2025,7,2025_07_HOU_SEA,Seattle Seahawks,32.98,31.84,37.35,24.17,226.2,131.7,215.6,1.2,0.6,1.22
v2_baseline,Baseline,2025,7,2025_07_IND_LAC,Indianapolis Colts,36.1,30.310000000000002,39.26,23.229999999999997,238.4,121.9,253.79999999999998,1.92,1.15,2.69
v2_baseline,Baseline,2025,7,2025_07_IND_LAC,Los Angeles Chargers,36.76,28.12,40.94,25.580000000000002,229.8,105.80000000000001,218.2,1.87,0.82,2.2800000000000002
v2_baseline,Baseline,2025,7,2025_07_LA_JAX,Jacksonville Jaguars,40.67,21.599999999999998,46.97,27.68,275.9,105.0,296.8,1.81,0.42000000000000004,2.33
v2_baseline,Baseline,2025,7,2025_07_LA_JAX,Los Angeles Rams,36.74,29.639999999999997,40.230000000000004,23.93,207.0,90.1,175.3,1.98,1.1099999999999999,2.48
v2_baseline,Baseline,2025,7,2025_07_LV_KC,Kansas City Chiefs,40.72,24.0,45.3,28.57,274.2,97.0,247.5,2.49,0.95,3.17
v2_baseline,Baseline,2025,7,2025_07_LV_KC,Las Vegas Raiders,32.73,36.0,33.29,19.73,183.6,110.0,156.4,1.2,0.73,1.31
v2_baseline,Baseline,2025,7,2025_07_MIA_CLE,Cleveland Browns,44.89,21.59,46.99,26.64,233.0,67.4,216.10000000000002,2.06,0.28,2.12
v2_baseline,Baseline,2025,7,2025_07_MIA_CLE,Miami Dolphins,38.01,23.040000000000003,41.97,25.73,223.8,76.3,191.3,1.82,0.5700000000000001,2.06
v2_baseline,Baseline,2025,7,2025_07_NE_TEN,New England Patriots,33.47,30.689999999999998,38.4,24.23,222.8,127.1,214.3,1.16,0.5900000000000001,1.28
v2_baseline,Baseline,2025,7,2025_07_NE_TEN,Tennessee Titans,38.06,18.59,39.97,22.61,197.6,58.0,172.5,1.28,0.29000000000000004,1.3
v2_baseline,Baseline,2025,7,2025_07_NO_CHI,Chicago Bears,37.71,28.57,40.8,23.85,225.8,103.1,202.7,2.12,1.02,2.83
v2_baseline,Baseline,2025,7,2025_07_NO_CHI,New Orleans Saints,38.18,27.0,42.44,26.43,219.5,94.3,248.1,0.82,0.27,0.75
