week,n_games,acc_home_win,acc_spread_cover,acc_over_under,mae_margin,mae_total,home_pred_rate,acc_pred_home,acc_pred_away,acc_actual_home,acc_actual_away
1,16,0.4375,1.0,1.0,,12.65195765549808,0.0,,0.4375,0.0,1.0
2,16,0.5625,,,,11.36756203752638,0.0,,0.5625,0.0,1.0
3,16,0.25,0.4375,0.5625,,11.806091884487023,0.0,,0.25,0.0,1.0
4,16,0.3125,0.25,0.375,,8.086738259923193,0.0,,0.3125,0.0,1.0
5,14,0.7142857142857143,0.6428571428571429,0.6428571428571429,,9.969439903493766,0.0,,0.7142857142857143,0.0,1.0
6,15,0.4,0.3333333333333333,0.6,,9.894468822025905,0.0,,0.4,0.0,1.0
7,15,0.4,0.4,0.6,,12.073918213652165,0.0,,0.4,0.0,1.0
8,13,0.38461538461538464,0.38461538461538464,0.6923076923076923,,9.215151869502261,0.0,,0.38461538461538464,0.0,1.0
9,14,0.7142857142857143,0.6428571428571429,0.5,,10.366990670814628,0.0,,0.7142857142857143,0.0,1.0
10,14,0.42857142857142855,0.5714285714285714,0.5,,13.77137383197767,0.0,,0.42857142857142855,0.0,1.0
11,15,0.4666666666666667,0.4,0.4,,11.316951204537881,0.0,,0.4666666666666667,0.0,1.0
12,14,0.35714285714285715,0.5,0.5,,9.36250081773576,0.0,,0.35714285714285715,0.0,1.0
13,16,0.5625,0.625,0.5625,7.101262757675903,11.602947818770414,0.0625,1.0,0.5333333333333333,0.125,1.0
14,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,,10.528844340288888,0.0,,0.5714285714285714,0.0,1.0
15,16,0.375,0.4375,0.5,,14.642897730382252,0.0,,0.375,0.0,1.0
16,16,0.6875,0.75,0.25,4.954417605436761,14.000402392155342,0.0625,1.0,0.6666666666666666,0.16666666666666666,1.0
17,16,0.625,0.625,0.5,,12.240283677544912,0.0,,0.625,0.0,1.0
