season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_ref,total_ref,home_points_mean,away_points_mean,total_points_mean,prob_home_win_mc,prob_home_cover_mc,prob_over_total_mc
2025,9,2025_09_ARI_DAL,Dallas Cowboys,Arizona Cardinals,6.227374056260194,36.579166035129745,-3.0,52.5,21.14094620754404,14.561078362160673,35.70202456970471,0.784,0.6726666666666666,0.16133333333333333
2025,9,2025_09_ATL_NE,New England Patriots,Atlanta Falcons,6.2722726946042044,46.264534771173835,-2.5,45.5,26.219185765502566,20.06630838850434,46.285494154006905,0.7566666666666667,0.6573333333333333,0.518
2025,9,2025_09_BAL_MIA,Miami Dolphins,Baltimore Ravens,-1.0153861252081642,39.7961690524775,7.5,50.5,19.14967545311415,20.380244458708805,39.52991991182295,0.44,0.756,0.27266666666666667
2025,9,2025_09_CAR_GB,Green Bay Packers,Carolina Panthers,20.0,41.10413509531676,-10.5,44.5,30.476569757382066,10.777776055994588,41.25434581337665,0.986,0.858,0.43
2025,9,2025_09_CHI_CIN,Cincinnati Bengals,Chicago Bears,6.653304944332918,45.20087547974852,1.5,48.5,25.835463024885698,18.9375341294969,44.7729971543826,0.78,0.8306666666666667,0.4126666666666667
2025,9,2025_09_DEN_HOU,Houston Texans,Denver Broncos,-1.3381288750389606,44.219083546270554,1.5,38.5,21.32579261864589,23.198401906021303,44.524194524667195,0.41133333333333333,0.48733333333333334,0.6453333333333333
2025,9,2025_09_IND_PIT,Pittsburgh Steelers,Indianapolis Colts,-3.017732491726484,40.57486444622754,1.5,49.5,18.134788370222253,21.434489313572815,39.56927768379507,0.3566666666666667,0.4106666666666667,0.2673333333333333
2025,9,2025_09_JAX_LV,Las Vegas Raiders,Jacksonville Jaguars,-0.7798457740535673,35.517763667203994,3.0,44.5,17.731363052566426,18.117616007151774,35.8489790597182,0.4866666666666667,0.6406666666666667,0.288
2025,9,2025_09_KC_BUF,Buffalo Bills,Kansas City Chiefs,3.8809232567390075,42.419825614147015,1.5,50.5,23.283337300704908,19.492847432923575,42.77618473362848,0.664,0.7246666666666667,0.332
2025,9,2025_09_LAC_TEN,Tennessee Titans,Los Angeles Chargers,3.258899781931332,33.29157417199599,7.5,43.5,18.60778992080142,15.010381899637936,33.61817182043935,0.6426666666666667,0.8926666666666667,0.2946666666666667
2025,9,2025_09_MIN_DET,Detroit Lions,Minnesota Vikings,10.758315486018184,62.0,-7.0,48.5,36.356441884323644,25.634498488907163,61.990940373230806,0.89,0.6726666666666666,0.794
2025,9,2025_09_NO_LA,Los Angeles Rams,New Orleans Saints,20.0,53.491947781659036,-12.5,45.5,36.802672355596336,16.765050939162503,53.56772329475884,0.988,0.8266666666666667,0.6853333333333333
2025,9,2025_09_SEA_WAS,Washington Commanders,Seattle Seahawks,-8.486827836460506,27.677307808567722,2.5,46.5,9.554373566763763,17.851274868768932,27.405648435532697,0.18466666666666667,0.258,0.13533333333333333
2025,9,2025_09_SF_NYG,New York Giants,San Francisco 49ers,-4.691833730659509,62.0,3.0,46.5,28.63704072374219,33.69534806079253,62.332388784534714,0.2946666666666667,0.412,0.8093333333333333
