stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,280,0.9035714285714286,v2_baseline,0.07295774647887324
pass_attempts,280,0.9071428571428571,v2_baseline,0.930176056338028
pass_tds,280,0.9107142857142857,v2_baseline,0.11003521126760564
pass_yards,280,0.9178571428571428,v2_baseline,7.540140845070423
rec_tds,280,0.34285714285714286,v2_baseline,0.2522183098591549
rec_yards,280,0.2392857142857143,v2_baseline,16.882394366197186
receptions,280,0.225,v2_baseline,1.3557746478873238
rush_attempts,280,0.5821428571428572,v2_baseline,1.7566901408450704
rush_tds,280,0.7107142857142857,v2_baseline,0.14007042253521126
rush_yards,280,0.6071428571428571,v2_baseline,6.959507042253522
targets,280,0.17142857142857143,v2_baseline,1.8617957746478873
