scenario_id,position,scenario_label,n_rows,mae_pass_attempts,mae_pass_yards,mae_pass_tds,mae_interceptions,mae_rush_attempts,mae_rush_yards,mae_rush_tds,mae_targets,mae_receptions,mae_rec_yards,mae_rec_tds,brier_any_td,any_td_rate,mae_mean
v2_baseline,QB,Baseline,30,9.71,79.31111111111112,1.1574074074074072,0.7674074074074073,3.6888888888888887,13.185185185185185,0.2781481481481482,0.037037037037037035,0.0,0.0,0.0,0.08382955620642031,0.1,9.83047138047138
v2_blend_10_20,QB,Market blend m=0.10 t=0.20,30,9.740744254914757,79.89328597596429,1.164709606478275,0.7662262389747108,3.701288613881254,13.245621735360144,0.2781422771472914,0.037037037037037035,0.0,0.0,0.0,0.08357731884992471,0.1,9.893368703614343
v2_cold_minus15,QB,Temp -15F,30,9.782577209406986,80.0593825216299,1.1500763686905904,0.7670770635769782,3.6787107529262366,13.173788777027687,0.27791048330748513,0.037037037037037035,0.0,0.0,0.0,0.08391532972597922,0.1,9.90241456487299
v2_elo_minus100,QB,Home Elo -100 (diff),30,9.695613958163348,79.42539310624885,1.1558072489503988,0.7676369637366243,3.689521152174038,13.207490634770627,0.2778751683582321,0.037037037037037035,0.0,0.0,0.0,0.08358792822661663,0.1,9.841488660858104
v2_elo_plus100,QB,Home Elo +100 (diff),30,9.79568744280957,79.9620589403519,1.1565944569698876,0.7668706580320785,3.682719901170373,13.188032924514676,0.2776613831518811,0.037037037037037035,0.0,0.0,0.0,0.0836223157474116,0.1,9.896969340367034
v2_inj_away_plus1,QB,Away starters out +1,30,9.73273067626287,79.32478788229899,1.1462388244147759,0.766290079826249,3.662960995290933,13.112122373244969,0.2769935807425084,0.037037037037037035,0.0,0.0,0.0,0.08357963832682178,0.1,9.823560131738033
v2_inj_away_plus2,QB,Away starters out +2,30,9.720281468037221,79.2458176887218,1.139899462070701,0.7671339512101298,3.6408811954682903,13.025597815305007,0.2759788698621413,0.037037037037037035,0.0,0.0,0.0,0.08342734706089953,0.1,9.804784317064756
v2_inj_home_plus1,QB,Home starters out +1,30,9.76500793942938,79.58074564970066,1.1451250439774219,0.7671884262051466,3.6608871017412565,13.098598580779788,0.2770742596751662,0.037037037037037035,0.0,0.0,0.0,0.08364151833346738,0.1,9.84833309441326
v2_inj_home_plus2,QB,Home starters out +2,30,9.651461168414366,78.49208449366179,1.137876339030834,0.7678255061315278,3.6405462801476833,13.031366126050173,0.27652561156250716,0.037037037037037035,0.0,0.0,0.0,0.08378655842067437,0.1,9.730429323821449
v2_neutral_site,QB,Neutral site,30,9.749950635783009,79.72910073613211,1.1593000693921216,0.7659748775221435,3.6899137856753157,13.213791023617262,0.27799412108160404,0.037037037037037035,0.0,0.0,0.0,0.083743478827053,0.1,9.874823844203691
v2_precip_plus25,QB,Precip +25%,30,9.716930615281159,79.55254039794657,1.1525542120500087,0.7682633035126208,3.691826573523108,13.20305971837835,0.2779313889926991,0.037037037037037035,0.0,0.0,0.0,0.08357964206836281,0.1,9.854558476974686
v2_precip_plus50,QB,Precip +50%,30,9.74227623115302,79.4024369655889,1.1489218909933332,0.7682478977219316,3.678833857846734,13.17177195976001,0.27778521656333177,0.037037037037037035,0.0,0.0,0.0,0.08374173914468494,0.1,9.838846459696756
v2_pressure_plus005,QB,Home/away pressure +0.05,30,9.695017095661596,78.89970772175677,1.1405225297911208,0.7670265570441274,3.6443523986447026,13.042856210533321,0.276178401237181,0.037037037037037035,0.0,0.0,0.0,0.08353471572393904,0.1,9.772972541064169
v2_rest_minus7,QB,Home rest -7 days (diff),30,9.72131482849287,79.46048716926254,1.1528963785926025,0.7662076280372274,3.690983896719984,13.203055866208217,0.27849731253821813,0.037037037037037035,0.0,0.0,0.0,0.08401255509435197,0.1,9.846407283353516
v2_rest_plus7,QB,Home rest +7 days (diff),30,9.740292859021483,79.82886414979058,1.156687366139198,0.7674522712164111,3.6930700052274323,13.219179555148926,0.277565450629215,0.037037037037037035,0.0,0.0,0.0,0.08332682710803414,0.1,9.883649881291843
v2_sigma_high,QB,High volatility,30,9.758125692573415,79.89977567984678,1.1607543841283867,0.7668741702785488,3.6928436895743864,13.22194196341071,0.27819043732528115,0.037037037037037035,0.0,0.0,0.0,0.08371332571733725,0.1,9.89232209583405
v2_sigma_low,QB,Low volatility,30,9.721442861344055,79.57184830967688,1.153811045454959,0.767669693869155,3.686163251397182,13.195914813834577,0.27770007575347694,0.037037037037037035,0.0,0.0,0.0,0.08358771473919552,0.1,9.85559882621521
v2_spread_home_minus3,QB,Spread home -3.0,30,9.806829236168467,79.79372427506578,1.1815150626754893,0.7756945124047637,3.670718337813171,13.117418667971762,0.274064700595602,0.037037037037037035,0.0,0.0,0.0,0.08125797157544772,0.1,9.87790925724837
v2_spread_home_plus3,QB,Spread home +3.0,30,9.788626977964134,80.77385391827687,1.142405459371873,0.7604107453089092,3.7017648159552983,13.294228645083406,0.28234131344551766,0.037037037037037035,0.0,0.0,0.0,0.0866147380255802,0.1,9.980060810222094
v2_total_minus3,QB,Total -3.0,30,9.734627692541805,78.23370727315726,1.1019800846055654,0.7654376969776373,3.5417447420290835,12.671347266512178,0.2723826525426364,0.037037037037037035,0.0,0.0,0.0,0.08320696913490194,0.1,9.668933131400292
v2_total_plus3,QB,Total +3.0,30,9.810654111140718,81.97513125852014,1.2193928769556353,0.7678624614528928,3.8322243582731623,13.73053240140448,0.28296963742619613,0.037037037037037035,0.0,0.0,0.0,0.08392504493482197,0.1,10.150527649291842
