stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,297,0.9191919191919192,v2_baseline,0.06642140468227424
pass_attempts,297,0.9090909090909091,v2_baseline,0.8282274247491639
pass_tds,297,0.9158249158249159,v2_baseline,0.10364548494983278
pass_yards,297,0.9292929292929293,v2_baseline,5.052173913043479
rec_tds,297,0.31986531986531985,v2_baseline,0.2682943143812709
rec_yards,297,0.21885521885521886,v2_baseline,16.12809364548495
receptions,297,0.22895622895622897,v2_baseline,1.400133779264214
rush_attempts,297,0.6060606060606061,v2_baseline,1.454046822742475
rush_tds,297,0.7003367003367004,v2_baseline,0.12036789297658863
rush_yards,297,0.5993265993265994,v2_baseline,6.979598662207357
targets,297,0.15824915824915825,v2_baseline,2.074782608695652
