week,n_games,acc_home_win,acc_spread_cover,acc_over_under,mae_margin,mae_total,home_pred_rate
1,16,0.4375,1.0,1.0,,,0.0
2,16,0.5625,1.0,1.0,,,0.0
3,16,0.25,1.0,1.0,,,0.0
4,16,0.3125,1.0,1.0,,,0.0
5,14,0.42857142857142855,0.35714285714285715,0.7142857142857143,13.502932620907718,8.951800278819634,0.5714285714285714
6,15,0.4666666666666667,0.6666666666666666,0.4666666666666667,7.968859115255335,10.53744004948885,0.6
7,15,0.7333333333333333,0.5333333333333333,0.4,11.648299424094843,13.379335682473585,0.4666666666666667
8,13,0.7692307692307693,0.38461538461538464,0.8461538461538461,14.624803003410971,9.836915771019859,0.6923076923076923
9,14,0.5714285714285714,0.5,0.5714285714285714,10.066464955760058,9.120600885946988,0.42857142857142855
10,14,0.7142857142857143,0.35714285714285715,0.5,10.897198183746221,13.241772401758984,0.7142857142857143
11,15,0.6666666666666666,0.5333333333333333,0.6666666666666666,8.658721801585362,9.658080917142259,0.4666666666666667
12,14,0.7142857142857143,0.8571428571428571,0.42857142857142855,6.146044966392046,9.20183168530085,0.5
13,16,0.6875,0.625,0.4375,9.962543179035166,9.23474150113535,0.4375
14,14,0.5,0.42857142857142855,0.42857142857142855,13.902815712200592,10.318651644932515,0.5
15,16,0.6875,0.5,0.4375,10.447332169652217,14.67539231772999,0.6875
16,16,0.5625,0.4375,0.375,11.864060522745277,10.343744850518444,0.4375
