bin_low,bin_high,count,pred_mean,obs_rate
0.0006900000000000001,0.0923,15,0.02827843454828964,0.4
0.0923,0.631,15,0.29385476895939516,0.4
0.631,0.822,22,0.7938905699484294,0.6818181818181818
0.822,0.849,8,0.8411517016981568,0.25
0.849,0.893,16,0.8746380214557369,0.4375
0.893,0.938,13,0.9217529872762971,0.46153846153846156
0.938,0.968,16,0.9620280885459174,0.625
0.968,0.983,14,0.9745377246851411,0.5714285714285714
0.983,0.991,15,0.9856774777091355,0.5333333333333333
0.991,1.0,15,0.9983962804976536,0.8666666666666667
