bin_low,bin_high,count,pred_mean,obs_rate
0.405,0.482,15,0.46851643183752617,0.26666666666666666
0.482,0.49,15,0.4859210666753135,0.3333333333333333
0.49,0.504,15,0.49734607726701835,0.3333333333333333
0.504,0.514,15,0.5100463186831762,0.4666666666666667
0.514,0.524,15,0.5196380274777931,0.7333333333333333
0.524,0.534,14,0.5288604744214881,0.6428571428571429
0.534,0.543,15,0.5380775017320404,0.4
0.543,0.558,15,0.5513958707879515,0.5333333333333333
0.558,0.572,15,0.5652297807021445,0.7333333333333333
0.572,0.612,15,0.5895715812105939,0.6
