scenario_id,scenario_label,season,week,game_id,team,pass_attempts,rush_attempts,targets,receptions,pass_yards,rush_yards,rec_yards,pass_tds,rush_tds,rec_tds
v2_baseline,Baseline,2025,8,2025_08_BUF_CAR,Buffalo Bills,42.23,25.270000000000003,44.07,27.52,285.2,113.5,292.8,2.8,1.09,3.01
v2_baseline,Baseline,2025,8,2025_08_BUF_CAR,Carolina Panthers,36.88,33.4,36.19,22.69,193.7,100.7,166.4,1.17,0.58,1.12
v2_baseline,Baseline,2025,8,2025_08_CHI_BAL,Baltimore Ravens,35.13,33.66,35.22,22.61,213.2,105.4,170.10000000000002,2.27,1.1400000000000001,2.2199999999999998
v2_baseline,Baseline,2025,8,2025_08_CHI_BAL,Chicago Bears,34.71,39.599999999999994,30.76,18.71,221.0,162.1,182.9,1.02,0.63,0.83
v2_baseline,Baseline,2025,8,2025_08_CLE_NE,Cleveland Browns,32.64,38.58,30.85,18.189999999999998,224.1,164.5,208.5,1.27,0.76,1.15
v2_baseline,Baseline,2025,8,2025_08_CLE_NE,New England Patriots,36.87,30.189999999999998,38.55,25.39,239.8,123.5,223.1,2.05,0.8799999999999999,2.25
v2_baseline,Baseline,2025,8,2025_08_DAL_DEN,Dallas Cowboys,40.71,29.91,39.03,24.55,264.0,120.80000000000001,214.3,1.59,0.49,1.2
v2_baseline,Baseline,2025,8,2025_08_DAL_DEN,Denver Broncos,45.1,21.59,47.86,30.740000000000002,295.7,85.9,299.2,2.49,0.6400000000000001,2.57
v2_baseline,Baseline,2025,8,2025_08_GB_PIT,Green Bay Packers,41.95,24.869999999999997,44.05,28.26,230.0,75.6,208.3,2.82,0.89,3.11
v2_baseline,Baseline,2025,8,2025_08_GB_PIT,Pittsburgh Steelers,42.42,25.04,43.550000000000004,27.5,275.1,103.0,256.0,1.96,0.69,1.89
v2_baseline,Baseline,2025,8,2025_08_MIA_ATL,Atlanta Falcons,48.0,21.270000000000003,46.120000000000005,28.85,279.4,70.2,285.9,3.2,0.7,3.09
v2_baseline,Baseline,2025,8,2025_08_MIA_ATL,Miami Dolphins,35.52,19.91,32.62,20.71,200.5,61.400000000000006,150.6,1.97,0.5700000000000001,1.86
v2_baseline,Baseline,2025,8,2025_08_MIN_LAC,Los Angeles Chargers,39.64,18.32,39.25,25.66,246.9,70.0,227.8,1.99,0.19,2.0300000000000002
v2_baseline,Baseline,2025,8,2025_08_MIN_LAC,Minnesota Vikings,48.0,21.91,46.3,29.52,245.9,70.4,201.3,2.71,0.5700000000000001,2.4
v2_baseline,Baseline,2025,8,2025_08_NYG_PHI,New York Giants,40.5,30.86,38.69,24.25,278.0,124.8,243.6,2.31,0.92,2.05
v2_baseline,Baseline,2025,8,2025_08_NYG_PHI,Philadelphia Eagles,35.31,33.8,35.64,23.35,202.4,106.8,174.3,2.28,1.4,2.54
v2_baseline,Baseline,2025,8,2025_08_NYJ_CIN,Cincinnati Bengals,47.22,21.6,47.46,31.33,315.6,87.6,275.3,2.66,0.5700000000000001,2.62
v2_baseline,Baseline,2025,8,2025_08_NYJ_CIN,New York Jets,40.29,20.33,43.66,27.14,210.0,59.400000000000006,218.6,2.45,0.51,2.9400000000000004
v2_baseline,Baseline,2025,8,2025_08_SF_HOU,Houston Texans,37.46,16.5,36.35,22.45,206.6,49.3,157.4,2.81,0.4,3.13
v2_baseline,Baseline,2025,8,2025_08_SF_HOU,San Francisco 49ers,32.25,39.6,30.37,20.05,227.8,167.1,179.3,1.88,1.49,1.85
v2_baseline,Baseline,2025,8,2025_08_TB_NO,New Orleans Saints,38.45,17.33,37.2,24.13,202.1,53.8,206.6,2.12,0.5900000000000001,2.3800000000000003
