scenario_id,scenario_label,n_rows,mae_pass_attempts,mae_pass_yards,mae_pass_tds,mae_interceptions,mae_rush_attempts,mae_rush_yards,mae_rush_tds,mae_targets,mae_receptions,mae_rec_yards,mae_rec_tds,brier_any_td,any_td_rate,mae_mean
v2_baseline,Baseline,445,0.9869303797468355,7.9715189873417724,0.13420886075949365,0.06297468354430379,1.6406962025316456,8.344620253164557,0.1289873417721519,2.158544303797468,1.5275,17.524367088607594,0.272879746835443,0.12173446199868193,0.16179775280898875,3.7048388952819336
v2_blend_10_20,Market blend m=0.10 t=0.20,445,0.984965666812287,7.943294350586962,0.13471068946312767,0.06301176027919292,1.648173489911372,8.366184261968098,0.12920487319553556,2.1610256265280454,1.5288959641300912,17.547536356505066,0.27348133174223255,0.12185136428644193,0.16179775280898875,3.7073167610110924
v2_cold_minus15,Temp -15F,445,0.9851399603389825,8.01625695254597,0.1345588596648738,0.06298828900508774,1.6416915850094198,8.352973763503467,0.12907083912591644,2.1599614106830236,1.5291501453870253,17.541974529656812,0.2730990693073455,0.12182049117821352,0.16179775280898875,3.7115332185661747
v2_elo_minus100,Home Elo -100 (diff),445,0.9823958166562383,7.967673663669927,0.13456995465261132,0.06292611325919367,1.6390368244133304,8.340246982082153,0.12900198622385656,2.1570991104639705,1.5274416787172254,17.52757130192889,0.27301285012967713,0.12177958538094948,0.16179775280898875,3.7037251165633696
v2_elo_plus100,Home Elo +100 (diff),445,0.9878924948679646,8.008993332124607,0.13444741373479005,0.06293093576951392,1.6416782787315578,8.360143059093664,0.1288471350321846,2.159880808440502,1.528830879518047,17.533747942699506,0.2730262868063836,0.12173910835990047,0.16179775280898875,3.7109471424380653
v2_inj_away_plus1,Away starters out +1,445,0.9848458057880497,7.9966806204493945,0.13289984319394751,0.06291061544370868,1.6377490354962243,8.343096900765339,0.1287595807268703,2.151139577791982,1.5235118085966022,17.49737407295306,0.27174169622315925,0.12158123156777143,0.16179775280898875,3.702791777948031
v2_inj_away_plus2,Away starters out +2,445,0.9876810801610586,7.928702216940383,0.13251585105747068,0.06293016794875465,1.6331697511032552,8.327859836610937,0.1283867666442048,2.142828783060106,1.5185412127418918,17.46169673673388,0.2709299106604454,0.12146698430871268,0.16179775280898875,3.6904765739693075
v2_inj_home_plus1,Home starters out +1,445,0.9884075902183188,7.937714466669588,0.1334307532749658,0.06290317032698206,1.636241947040851,8.337888577711416,0.12867838324749323,2.150667495167598,1.5231906355285243,17.483867988830504,0.2721915059685663,0.12159509147467114,0.16179775280898875,3.6959256830895284
v2_inj_home_plus2,Home starters out +2,445,0.983893093803877,7.941295010761365,0.13257289281416862,0.06301970360140781,1.6359988574367488,8.336857203339644,0.1285422459851124,2.1448874075483473,1.5201319003273257,17.48744125478808,0.27138008372033307,0.12151925493220594,0.16179775280898875,3.6950926958296733
v2_neutral_site,Neutral site,445,0.9855182811677295,7.973399447141003,0.1343692388268699,0.0628881942680607,1.6415278413997325,8.347875100724211,0.12895524080393728,2.1595781974683965,1.5279601332104882,17.526239668182807,0.2730271862242044,0.12168996203467664,0.16179775280898875,3.70557622994704
v2_precip_plus25,Precip +25%,445,0.9847486255824819,7.985557791891438,0.13443954577043693,0.06286721530285802,1.6405352775774993,8.346642206088132,0.12892051869868829,2.1596087628715064,1.5283309773976792,17.531966276419496,0.2730026910533366,0.12172298439384618,0.16179775280898875,3.7069654444230506
v2_precip_plus50,Precip +50%,445,0.9837413063973565,7.988616682307888,0.13478296083533292,0.06294942540243054,1.6414293856089246,8.350420078886014,0.1290610907891047,2.1615803080625278,1.5301161351032766,17.546033341503794,0.27332794245717323,0.1217375393220872,0.16179775280898875,3.7092780597594386
v2_pressure_plus005,Home/away pressure +0.05,445,0.9885386523876092,7.918189126788571,0.13178856806203526,0.06292413451509443,1.6326421485351499,8.330354040253562,0.12821969986162968,2.140437477535548,1.5173264274853224,17.453007914619075,0.27059025912169155,0.12129141293016293,0.16179775280898875,3.6885471317422995
v2_rest_minus7,Home rest -7 days (diff),445,0.9924213390720226,8.014715171510524,0.13503037521257305,0.06285262793323523,1.6395815799053044,8.346255239762094,0.1292081859353462,2.163420454186698,1.530381448883893,17.556926757705867,0.27322509525630345,0.12189084205394783,0.16179775280898875,3.7130925704876234
v2_rest_plus7,Home rest +7 days (diff),445,0.9824490500849489,7.949899173149611,0.1351346047866041,0.06288796103507918,1.6423291298628777,8.339685720011897,0.12918955115777797,2.1630193072507544,1.530135790765333,17.526212751710652,0.2735531521524723,0.12181520705509187,0.16179775280898875,3.703136017451637
v2_sigma_high,High volatility,445,0.9822570357165736,7.982990807891239,0.13458845072736822,0.06293048284118509,1.6421780015859662,8.356430515536207,0.1293564472252228,2.1572240468235253,1.5276174858005742,17.540270504155185,0.2729865191091386,0.1219079493335815,0.16179775280898875,3.7080754815829264
v2_sigma_low,Low volatility,445,0.9873861827115036,7.967669004226056,0.13428799667943364,0.06292774562062875,1.638298072958139,8.349906855422498,0.12902726240692747,2.1564943772604517,1.5265895204051545,17.520450768428773,0.27283705168464156,0.12174793984819832,0.16179775280898875,3.704170439800382
v2_spread_home_minus3,Spread home -3.0,445,0.9646078508700686,7.962639838738496,0.13698004988324905,0.06300554517850385,1.6581709074772792,8.390761430872518,0.12975671756751206,2.157429320895106,1.525553480835981,17.4670438637852,0.27413332328336754,0.12251468946073132,0.16179775280898875,3.7027347572170246
