scenario_id,scenario_label,season,week,game_id,team,pass_attempts,rush_attempts,targets,receptions,pass_yards,rush_yards,rec_yards,pass_tds,rush_tds,rec_tds
v2_baseline,Baseline,2025,16,2025_16_ATL_ARI,Arizona Cardinals,30.07,16.67,35.44,22.27,171.4,51.8,170.7,1.62,0.45,1.95
v2_baseline,Baseline,2025,16,2025_16_ATL_ARI,Atlanta Falcons,41.88,22.96,46.370000000000005,29.58,252.4,67.3,260.7,2.42,0.78,2.71
v2_baseline,Baseline,2025,16,2025_16_BUF_CLE,Buffalo Bills,33.92,33.3,35.54,23.669999999999998,250.0,149.70000000000002,254.7,2.29,1.3399999999999999,2.44
v2_baseline,Baseline,2025,16,2025_16_BUF_CLE,Cleveland Browns,37.07,17.54,38.13,22.87,205.8,59.2,175.8,1.42,0.24000000000000002,1.3
v2_baseline,Baseline,2025,16,2025_16_CIN_MIA,Cincinnati Bengals,40.71,26.53,42.57,27.89,239.8,78.80000000000001,183.5,1.9,0.58,1.59
v2_baseline,Baseline,2025,16,2025_16_CIN_MIA,Miami Dolphins,35.12,16.5,35.71,23.03,195.0,51.3,169.9,2.83,0.59,2.6100000000000003
v2_baseline,Baseline,2025,16,2025_16_GB_CHI,Chicago Bears,34.58,35.45,34.34,21.54,199.5,107.3,153.4,2.37,1.68,2.82
v2_baseline,Baseline,2025,16,2025_16_GB_CHI,Green Bay Packers,41.17,21.6,47.32,31.12,304.9,88.8,295.8,2.3,0.5800000000000001,2.45
v2_baseline,Baseline,2025,16,2025_16_JAX_DEN,Denver Broncos,36.56,30.55,39.41,25.9,260.5,125.1,237.7,2.02,0.96,2.0300000000000002
v2_baseline,Baseline,2025,16,2025_16_JAX_DEN,Jacksonville Jaguars,39.74,24.41,44.07,28.07,287.8,117.1,272.4,1.17,0.3,1.06
v2_baseline,Baseline,2025,16,2025_16_KC_TEN,Kansas City Chiefs,42.23,20.97,43.43,29.03,234.5,62.400000000000006,193.5,2.5,0.56,2.35
v2_baseline,Baseline,2025,16,2025_16_KC_TEN,Tennessee Titans,31.97,25.119999999999997,32.87,20.62,240.1,104.4,215.4,1.92,0.71,1.77
v2_baseline,Baseline,2025,16,2025_16_LAC_DAL,Dallas Cowboys,37.78,30.41,38.97,25.13,274.4,124.9,225.5,1.63,0.55,1.34
v2_baseline,Baseline,2025,16,2025_16_LAC_DAL,Los Angeles Chargers,34.55,33.230000000000004,36.089999999999996,24.05,205.4,101.8,192.5,2.23,1.29,2.45
v2_baseline,Baseline,2025,16,2025_16_LA_SEA,Los Angeles Rams,38.36,28.0,41.400000000000006,25.82,282.1,113.60000000000001,256.3,1.05,0.28,0.75
v2_baseline,Baseline,2025,16,2025_16_LA_SEA,Seattle Seahawks,38.44,24.0,45.11,31.55,228.0,73.1,201.9,2.46,0.8400000000000001,2.78
v2_baseline,Baseline,2025,16,2025_16_LV_HOU,Houston Texans,33.9,34.870000000000005,34.84,22.17,224.6,127.0,188.0,2.96,2.0,3.6100000000000003
v2_baseline,Baseline,2025,16,2025_16_LV_HOU,Las Vegas Raiders,39.26,19.810000000000002,42.56,27.560000000000002,232.9,59.900000000000006,194.5,2.13,0.49999999999999994,2.31
v2_baseline,Baseline,2025,16,2025_16_MIN_NYG,Minnesota Vikings,29.88,30.740000000000002,30.73,19.88,224.4,145.7,190.0,2.03,0.9700000000000001,1.84
v2_baseline,Baseline,2025,16,2025_16_MIN_NYG,New York Giants,43.12,24.35,43.959999999999994,28.17,239.4,72.9,194.7,3.02,0.8300000000000001,2.8
v2_baseline,Baseline,2025,16,2025_16_NE_BAL,Baltimore Ravens,26.89,28.36,26.17,17.02,171.8,80.69999999999999,114.7,1.72,0.7999999999999999,1.46
v2_baseline,Baseline,2025,16,2025_16_NE_BAL,New England Patriots,33.76,29.64,37.89,25.32,240.1,122.9,226.0,1.09,0.41,0.97
v2_baseline,Baseline,2025,16,2025_16_NYJ_NO,New Orleans Saints,42.84,24.54,39.34,24.3,237.8,79.2,187.5,1.75,0.51,1.45
v2_baseline,Baseline,2025,16,2025_16_NYJ_NO,New York Jets,30.28,22.16,31.009999999999998,19.15,168.1,68.19999999999999,149.9,2.36,0.82,2.2
v2_baseline,Baseline,2025,16,2025_16_PHI_WAS,Philadelphia Eagles,29.46,39.599999999999994,30.119999999999997,19.7,214.5,156.7,185.4,1.42,1.71,1.4100000000000001
v2_baseline,Baseline,2025,16,2025_16_PHI_WAS,Washington Commanders,31.59,37.239999999999995,32.45,20.77,237.3,151.4,238.1,2.43,1.4500000000000002,2.29
v2_baseline,Baseline,2025,16,2025_16_PIT_DET,Detroit Lions,40.92,23.63,45.31,30.28,306.9,96.7,304.1,2.23,0.5900000000000001,2.34
v2_baseline,Baseline,2025,16,2025_16_PIT_DET,Pittsburgh Steelers,32.55,37.1,32.69,20.74,207.7,132.6,169.1,1.69,0.92,1.6
v2_baseline,Baseline,2025,16,2025_16_SF_IND,Indianapolis Colts,32.14,37.17,32.9,20.4,178.5,115.2,174.4,2.37,1.4500000000000002,2.26
v2_baseline,Baseline,2025,16,2025_16_SF_IND,San Francisco 49ers,34.51,32.11,37.63,25.27,265.7,135.7,232.1,1.97,0.9400000000000001,1.98
v2_baseline,Baseline,2025,16,2025_16_TB_CAR,Carolina Panthers,34.65,30.67,36.78,23.89,201.5,93.5,177.6,1.96,1.02,2.29
v2_baseline,Baseline,2025,16,2025_16_TB_CAR,Tampa Bay Buccaneers,41.43,22.96,46.1,29.36,299.2,92.4,277.3,2.83,0.8300000000000001,3.0
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,16,2025_16_ATL_ARI,Arizona Cardinals,30.322293169855254,16.809864554090026,35.73734851811341,22.456849647245644,173.23237276189124,52.353774265262345,172.52488932587417,1.644797719100579,0.4568882553057163,1.9798491063247707
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,16,2025_16_ATL_ARI,Atlanta Falcons,42.06230254053044,23.05994427723445,46.571847392655116,29.70876096344055,253.79916261629637,67.67307307478902,262.14517311437584,2.4391871825857714,0.786184298519381,2.731486473060926
v2_blend_10_20,Market blend m=0.10 t=0.20,2025,16,2025_16_BUF_CLE,Buffalo Bills,33.86154656808106,33.24261499755599,35.478754865259454,23.62921011988439,249.4518146565646,149.3717466163509,254.14150877210804,2.2828299752157304,1.335804439645886,2.4323603229372845
