scenario_id,scenario_label,season,week,game_id,home_team,away_team,pred_margin,pred_total,spread_ref,total_ref,home_points_mean,away_points_mean,total_points_mean,prob_home_win_mc,prob_home_cover_mc,prob_over_total_mc,scenario_wind_open_add_mph,scenario_wx_precip_add_pct,scenario_wx_temp_add_f,scenario_home_inj_starters_add,scenario_away_inj_starters_add,scenario_neutral_site_flag,scenario_sim_market_blend_margin,scenario_sim_market_blend_total
v2_baseline,Baseline,2025,16,2025_16_ATL_ARI,Arizona Cardinals,Atlanta Falcons,0.34053016301443995,44.462815451143435,-1.5,45.5,22.385483130592256,21.96060702663041,44.34609015722267,0.5175,0.4545,0.4705,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_BUF_CLE,Cleveland Browns,Buffalo Bills,-10.768205389890198,41.21745193399195,8.5,42.5,15.231894614375076,26.207113202881427,41.4390078172565,0.115,0.3925,0.4655,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_CIN_MIA,Miami Dolphins,Cincinnati Bengals,-0.45802279564430437,49.09273636027927,1.5,50.5,24.476674024049665,24.780781021617887,49.25745504566755,0.5,0.567,0.4755,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_GB_CHI,Chicago Bears,Green Bay Packers,-1.705580379929415,45.164843732193205,3.0,46.5,21.659537920670473,23.520144493072053,45.179682413742526,0.4145,0.566,0.458,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_JAX_DEN,Denver Broncos,Jacksonville Jaguars,1.3077155325230914,42.402859021369665,-2.5,43.5,22.030139809033724,20.44429309215905,42.47443290119278,0.57,0.4515,0.458,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_KC_TEN,Tennessee Titans,Kansas City Chiefs,-12.312541458562155,40.84173809719678,11.5,41.5,14.230216264328428,26.807897570021748,41.03811383435018,0.083,0.444,0.4805,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_LAC_DAL,Dallas Cowboys,Los Angeles Chargers,0.5434215890873815,47.637042658047285,-1.5,48.5,24.06945234702625,23.624576400929218,47.69402874795547,0.5215,0.4525,0.4735,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_LA_SEA,Seattle Seahawks,Los Angeles Rams,1.3941341378434107,45.964227561912026,-1.5,47.5,23.709486779698913,22.392896883243825,46.10238366294274,0.5595,0.487,0.459,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_LV_HOU,Houston Texans,Las Vegas Raiders,15.835953206444362,37.48959639976406,-12.5,37.5,26.43891195962697,10.603808243046052,37.042720202673024,0.9705,0.6445,0.4735,0.0,0.0,0.0,0,0,,,
v2_baseline,Baseline,2025,16,2025_16_MIN_NYG,New York Giants,Minnesota Vikings,-3.239207337869126,42.85078922727083,1.5,43.5,19.7693160771537,22.870614423781568,42.63993050093527,0.355,0.432,0.4805,0.0,0.0,0.0,0,0,,,
