stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,312,0.9038461538461539,v2_baseline,0.06297468354430379
pass_attempts,312,0.907051282051282,v2_baseline,0.9869303797468355
pass_tds,312,0.907051282051282,v2_baseline,0.13420886075949365
pass_yards,312,0.907051282051282,v2_baseline,7.9715189873417724
rec_tds,312,0.3333333333333333,v2_baseline,0.272879746835443
rec_yards,312,0.22435897435897437,v2_baseline,17.524367088607594
receptions,312,0.20512820512820512,v2_baseline,1.5275
rush_attempts,312,0.5769230769230769,v2_baseline,1.6406962025316456
rush_tds,312,0.6923076923076923,v2_baseline,0.1289873417721519
rush_yards,312,0.5801282051282052,v2_baseline,8.344620253164557
targets,312,0.16025641025641027,v2_baseline,2.158544303797468
