scenario_id,game_id,drive_sec_mean,drive_pts_mean,p_drive_score,p_drive_fg,p_drive_td,scenario_label,season,week,home_team,away_team,drives_home,drives_away,drives_total
gs_baseline,2025_01_ARI_NO,164.49188388300885,2.3113,0.4091,0.18105,0.2063,Baseline (game-state set),2025,1,New Orleans Saints,Arizona Cardinals,10,10,20
gs_baseline,2025_01_BAL_BUF,166.2515135889737,2.5351500000000002,0.43574999999999997,0.18655,0.22995000000000002,Baseline (game-state set),2025,1,Buffalo Bills,Baltimore Ravens,10,10,20
gs_baseline,2025_01_CAR_JAX,163.8291214753336,2.3163,0.40735,0.1774,0.20795,Baseline (game-state set),2025,1,Jacksonville Jaguars,Carolina Panthers,10,10,20
gs_baseline,2025_01_CIN_CLE,164.0613096279804,2.41505,0.42325,0.1853,0.21545,Baseline (game-state set),2025,1,Cleveland Browns,Cincinnati Bengals,10,10,20
gs_baseline,2025_01_DAL_PHI,164.10654500273165,2.4099,0.41174999999999995,0.1719,0.2209,Baseline (game-state set),2025,1,Philadelphia Eagles,Dallas Cowboys,10,10,20
gs_baseline,2025_01_DET_GB,164.44669675799997,2.45275,0.42515000000000003,0.18409999999999999,0.21975000000000003,Baseline (game-state set),2025,1,Green Bay Packers,Detroit Lions,10,10,20
gs_baseline,2025_01_HOU_LA,161.6022730627937,2.2098500000000003,0.3963,0.17370000000000002,0.1975,Baseline (game-state set),2025,1,Los Angeles Rams,Houston Texans,10,10,20
gs_baseline,2025_01_KC_LAC,164.19068684604252,2.3499,0.4109,0.1787,0.21139999999999998,Baseline (game-state set),2025,1,Los Angeles Chargers,Kansas City Chiefs,10,10,20
gs_baseline,2025_01_LV_NE,164.30387838709413,2.27425,0.39915,0.17155,0.205,Baseline (game-state set),2025,1,New England Patriots,Las Vegas Raiders,10,10,20
gs_baseline,2025_01_MIA_IND,165.12129111120845,2.4263,0.42394999999999994,0.18495,0.21800000000000003,Baseline (game-state set),2025,1,Indianapolis Colts,Miami Dolphins,10,10,20
gs_baseline,2025_01_MIN_CHI,163.31894025054208,2.22845,0.3993,0.17735,0.19695000000000001,Baseline (game-state set),2025,1,Chicago Bears,Minnesota Vikings,10,10,20
gs_baseline,2025_01_NYG_WAS,164.60845447364304,2.3208,0.4069,0.1762,0.2084,Baseline (game-state set),2025,1,Washington Commanders,New York Giants,10,10,20
gs_baseline,2025_01_PIT_NYJ,160.07514758497103,1.9726,0.36175,0.1618,0.1738,Baseline (game-state set),2025,1,New York Jets,Pittsburgh Steelers,10,10,20
gs_baseline,2025_01_SF_SEA,163.18927948434532,2.38055,0.41185,0.17880000000000001,0.21284999999999998,Baseline (game-state set),2025,1,Seattle Seahawks,San Francisco 49ers,10,10,20
gs_baseline,2025_01_TB_ATL,166.51584725509127,2.441,0.42960000000000004,0.19005,0.21800000000000003,Baseline (game-state set),2025,1,Atlanta Falcons,Tampa Bay Buccaneers,10,10,20
gs_baseline,2025_01_TEN_DEN,163.51328439781418,2.21145,0.39005,0.16795,0.1992,Baseline (game-state set),2025,1,Denver Broncos,Tennessee Titans,10,10,20
gs_blowout_low_var,2025_01_ARI_NO,164.94896783455962,2.2875,0.4035,0.17685,0.207,Likely blowout (|spread|>=10): lower volatility,2025,1,New Orleans Saints,Arizona Cardinals,10,10,20
gs_blowout_low_var,2025_01_BAL_BUF,166.18657937500427,2.5391500000000002,0.43384999999999996,0.1835,0.2331,Likely blowout (|spread|>=10): lower volatility,2025,1,Buffalo Bills,Baltimore Ravens,10,10,20
gs_blowout_low_var,2025_01_CAR_JAX,165.33013322574942,2.30265,0.40875000000000006,0.18125,0.2065,Likely blowout (|spread|>=10): lower volatility,2025,1,Jacksonville Jaguars,Carolina Panthers,10,10,20
gs_blowout_low_var,2025_01_CIN_CLE,163.81834986943264,2.42565,0.42160000000000003,0.18195,0.22035,Likely blowout (|spread|>=10): lower volatility,2025,1,Cleveland Browns,Cincinnati Bengals,10,10,20
