date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-12-21,Baltimore Ravens,41.2,14.5,0.0,none,Mostly Cloudy,open,grass,
2025-12-21,Carolina Panthers,57.9,7.7,0.0,none,Partly Cloudy,open,grass,
2025-12-21,Cleveland Browns,28.3,13.3,0.0,none,Partly Cloudy,open,grass,
2025-12-21,Dallas Cowboys,57.3,7.1,0.0,none,Overcast,retractable,artificial,
2025-12-21,New Orleans Saints,76.8,4.1,95.0,rain,Partly Cloudy,fixed,artificial,
2025-12-21,New York Giants,37.4,15.0,0.0,none,Mostly Cloudy,open,artificial,
2025-12-21,Tennessee Titans,49.7,8.8,0.0,none,Clear,open,grass,
2025-12-21,Arizona Cardinals,75.1,0.9,0.0,none,Mostly Clear,retractable,grass,
2025-12-21,Denver Broncos,52.6,3.5,0.0,none,Partly Cloudy,open,grass,
2025-12-21,Detroit Lions,27.9,8.3,0.0,none,Clear,fixed,artificial,
2025-12-21,Houston Texans,76.2,5.7,0.0,none,Overcast,retractable,artificial,
2025-12-21,Miami Dolphins,78.0,11.6,0.0,none,Overcast,open,grass,
