date,home_team,_home_team_key,roof,surface,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,neutral_site,wx_gust_mph,wx_dew_point_f
2026-01-18,CHICAGO BEARS,Chicago Bears,open,grass,14.18,14.4158072,100.0,snow,,,25.7247594,3.559999999999995
2026-01-18,NEW ENGLAND PATRIOTS,New England Patriots,open,artificial,32.72,10.7497183,100.0,rain,,,24.85484,30.74
