date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-09-14,Baltimore Ravens,82.6,6.7,0.0,none,Mostly Clear,open,grass,
2025-09-14,Cincinnati Bengals,90.9,1.4,0.0,none,Clear,open,artificial,
2025-09-14,Dallas Cowboys,96.2,10.1,0.0,none,Mostly Cloudy,retractable,artificial,
2025-09-14,Detroit Lions,87.4,2.4,0.0,none,Clear,fixed,artificial,
2025-09-14,Miami Dolphins,86.4,7.6,100.0,rain,Mostly Cloudy,open,grass,
2025-09-14,New Orleans Saints,92.2,10.2,0.0,none,Mostly Clear,fixed,artificial,
2025-09-14,New York Jets,82.7,4.3,0.0,none,Partly Cloudy,open,artificial,
2025-09-14,Pittsburgh Steelers,84.7,4.3,0.0,none,Mostly Clear,open,grass,
2025-09-14,Tennessee Titans,90.0,3.6,0.0,none,Partly Cloudy,open,grass,
2025-09-14,Arizona Cardinals,96.6,7.0,0.0,none,Partly Cloudy,retractable,grass,
2025-09-14,Indianapolis Colts,91.0,2.5,0.0,none,Clear,retractable,artificial,
2025-09-14,Kansas City Chiefs,97.1,13.4,0.0,none,Overcast,open,grass,
2025-09-14,Minnesota Vikings,89.5,9.4,0.0,none,Overcast,fixed,artificial,
