season,week,date,game_id,team,opponent,is_home,player,position,player_id,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Bijan Robinson,RB,00-0038542,,,,,17.72,54.3,0.55,3.85,2.58,12.9,0.26,0.5546,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Tyler Allgeier,RB,00-0037263,,,,,9.84,30.1,0.2,2.4,1.73,8.5,0.15,0.2991,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Kyle Pitts Sr.,TE,,,,,,0.0,0.0,0.0,5.53,3.6,40.3,0.36,0.3018,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Charlie Woerner,TE,00-0036429,,,,,0.0,0.0,0.0,2.86,1.84,16.4,0.18,0.1615,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Drake London,WR,00-0037238,,,,,0.0,0.0,0.0,7.27,4.5,33.3,0.45,0.3654,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Darnell Mooney,WR,00-0036309,,,,,0.0,0.0,0.0,5.47,3.17,25.2,0.32,0.2764,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Atlanta Falcons,Buffalo Bills,1,Ray-Ray McCloud III,WR,,,,,,0.0,0.0,0.0,3.65,2.33,29.9,0.24,0.211,63.35,31.02,30.21,178.4,113.2,2.0152384850968423,0.7857826453825884,0.7754963346395244
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Josh Allen,QB,00-0034857,41.02,275.7,2.63,0.91,8.06,25.4,0.35,0.0,0.0,0.0,0.0,0.2942,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,James Cook,RB,00-0037248,,,,,11.83,43.5,0.61,5.07,3.64,20.4,0.41,0.6399,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
2025,6,2025-10-13,2025_06_BUF_ATL,Buffalo Bills,Atlanta Falcons,0,Ray Davis,RB,00-0039875,,,,,6.57,25.1,0.21,3.16,2.19,15.0,0.25,0.371,72.0,42.62,26.47,292.5,118.4,3.381842272177861,1.0587162748320673,1.0653882352941177
