date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-30,Carolina Panthers,46.2,5.5,0.0,none,Overcast,open,grass,
2025-11-30,Cleveland Browns,33.7,23.1,0.0,none,Overcast,open,grass,
2025-11-30,Indianapolis Colts,26.5,10.5,0.0,none,Overcast,retractable,artificial,
2025-11-30,Miami Dolphins,76.4,13.2,62.0,rain,Mostly Cloudy,open,grass,
2025-11-30,New York Jets,42.4,10.2,100.0,rain,Overcast,open,artificial,
2025-11-30,Tampa Bay Buccaneers,78.7,7.0,0.0,none,Mostly Clear,open,grass,
2025-11-30,Tennessee Titans,39.9,8.4,0.0,none,Mostly Cloudy,open,grass,
2025-11-30,Seattle Seahawks,40.1,2.5,0.0,none,Mostly Cloudy,open,artificial,
2025-11-30,Los Angeles Chargers,61.5,7.5,0.0,none,Mostly Cloudy,fixed,artificial,
2025-11-30,Pittsburgh Steelers,43.9,13.5,0.0,none,Overcast,open,grass,
2025-11-30,Washington Commanders,39.5,11.2,23.0,rain,Overcast,open,grass,
