date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-30,Carolina Panthers,52.7,5.3,0.0,none,Overcast,open,grass,
2025-11-30,Cleveland Browns,32.5,22.0,0.0,none,Overcast,open,grass,
2025-11-30,Indianapolis Colts,26.4,10.0,0.0,none,Overcast,retractable,artificial,
2025-11-30,Miami Dolphins,78.1,14.8,30.0,rain,Mostly Cloudy,open,grass,
2025-11-30,New York Jets,46.6,13.4,76.0,rain,Overcast,open,artificial,
2025-11-30,Tampa Bay Buccaneers,79.4,10.0,0.0,none,Clear,open,grass,
2025-11-30,Tennessee Titans,42.7,8.3,0.0,none,Partly Cloudy,open,grass,
2025-11-30,Seattle Seahawks,42.0,2.1,0.0,none,Overcast,open,artificial,
2025-11-30,Los Angeles Chargers,64.5,7.1,0.0,none,Mostly Cloudy,fixed,artificial,
2025-11-30,Pittsburgh Steelers,32.1,14.9,0.0,none,Overcast,open,grass,
2025-11-30,Washington Commanders,46.3,11.8,0.0,none,Overcast,open,grass,
