date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-12-28,Carolina Panthers,56.1,6.2,0.0,none,Overcast,open,grass,
2025-12-28,Cincinnati Bengals,63.1,13.8,100.0,rain,Overcast,open,artificial,
2025-12-28,Cleveland Browns,49.3,16.5,20.0,rain,Overcast,open,grass,
2025-12-28,Green Bay Packers,29.6,22.5,100.0,snow,Overcast,open,grass,
2025-12-28,Indianapolis Colts,62.4,15.8,100.0,rain,Overcast,retractable,artificial,
2025-12-28,Los Angeles Chargers,66.5,3.6,0.0,none,Clear,fixed,artificial,
2025-12-28,Las Vegas Raiders,55.4,9.9,0.0,none,Overcast,fixed,grass,
2025-12-28,Miami Dolphins,77.2,7.9,0.0,none,Clear,open,grass,
2025-12-28,New York Jets,30.9,5.1,0.0,none,Overcast,open,artificial,
2025-12-28,Tennessee Titans,71.6,13.4,0.0,none,Overcast,open,grass,
2025-12-28,Buffalo Bills,38.7,10.3,64.0,rain,Overcast,open,grass,
2025-12-28,San Francisco 49ers,57.5,4.0,0.0,none,Clear,open,grass,
