date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-09-21,Carolina Panthers,75.02,6.9593552,0.0,none,,open,grass,
2025-09-21,Cleveland Browns,73.04,12.8002426,0.0,none,,open,grass,
2025-09-21,Jacksonville Jaguars,78.08,13.4216136,100.0,rain,,open,grass,
2025-09-21,Minnesota Vikings,65.66,7.1457665,100.0,rain,,fixed,artificial,
2025-09-21,New England Patriots,56.48,7.0836294,0.0,none,,open,artificial,
2025-09-21,Philadelphia Eagles,65.3,7.0836294,0.0,none,,open,grass,
2025-09-21,Tampa Bay Buccaneers,82.04,8.947742400000001,100.0,rain,,open,grass,
2025-09-21,Tennessee Titans,79.52,7.5185891,100.0,rain,,open,grass,
2025-09-21,Washington Commanders,67.64,8.823468199999999,100.0,rain,,open,grass,
2025-09-21,Los Angeles Chargers,69.25999999999999,5.7787503000000005,0.0,none,,fixed,artificial,
2025-09-21,Seattle Seahawks,62.059999999999995,12.42742,100.0,rain,,open,artificial,
2025-09-21,Chicago Bears,70.34,8.699194,100.0,rain,,open,grass,
2025-09-21,San Francisco 49ers,68.72,9.3827021,0.0,none,,open,grass,
2025-09-21,New York Giants,63.68,5.4059276999999994,0.0,none,,open,artificial,
