date,home_team,roof,surface,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,neutral_site
2025-12-27,Green Bay Packers,open,grass,34.52,8.637056900000001,0.0,none,,
2025-12-27,Los Angeles Chargers,fixed,artificial,52.34,2.6718953,100.0,rain,,
