date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-23,Baltimore Ravens,44.78,7.7050004,0.0,none,,open,grass,
2025-11-23,Chicago Bears,45.32,12.2410087,0.0,none,,open,grass,
2025-11-23,Cincinnati Bengals,45.68,7.1457665,0.0,none,,open,artificial,
2025-11-23,Detroit Lions,42.8,10.8739925,0.0,none,,fixed,artificial,
2025-11-23,Green Bay Packers,39.38,11.060403800000001,0.0,none,,open,grass,
2025-11-23,Kansas City Chiefs,49.1,8.202097199999999,0.0,none,,open,grass,
2025-11-23,Tennessee Titans,54.5,7.3943149,0.0,none,,open,grass,
2025-11-23,Arizona Cardinals,58.28,5.1573793000000006,100.0,rain,,retractable,grass,
2025-11-23,Las Vegas Raiders,55.04,6.4001213,0.0,none,,fixed,grass,
2025-11-23,Dallas Cowboys,55.76,6.151572900000001,100.0,rain,,retractable,artificial,
2025-11-23,New Orleans Saints,71.06,9.0098795,0.0,none,,fixed,artificial,
2025-11-23,Los Angeles Rams,58.28,6.027298699999999,0.0,none,,fixed,artificial,
