player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
Jonathan Taylor,IND,Anytime TD,,-250.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Kareem Hunt,KC,Anytime TD,,-122.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Rashee Rice,KC,Anytime TD,,105.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Travis Kelce,KC,Anytime TD,,135.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Tyler Warren,IND,Anytime TD,,190.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Xavier Worthy,KC,Anytime TD,,220.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Michael Pittman,IND,Anytime TD,,265.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Alec Pierce,IND,Anytime TD,,295.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Patrick Mahomes,KC,Anytime TD,,290.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Josh Downs,IND,Anytime TD,,350.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Daniel Jones,IND,Anytime TD,,350.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Brashard Smith,KC,Anytime TD,,440.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Marquise Brown,KC,Anytime TD,,420.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Kansas City Chiefs Def/ST,KC,Anytime TD,,460.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Noah Gray,KC,Anytime TD,,600.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
JuJu Smith-Schuster,KC,Anytime TD,,1000.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Tyquan Thornton,KC,Anytime TD,,725.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Anthony Gould,IND,Anytime TD,,1100.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Ashton Dulin,IND,Anytime TD,,1100.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Elijah Mitchell,KC,Anytime TD,,1200.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
DJ Giddens,IND,Anytime TD,,1600.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Ameer Abdullah,IND,Anytime TD,,1400.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Nikko Remigio,KC,Anytime TD,,2500.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Mo Alie-Cox,IND,Anytime TD,,1300.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Jalen Royals,KC,Anytime TD,,2500.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Tyler Goodson,IND,Anytime TD,,1900.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Will Mallory,IND,Anytime TD,,1900.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Drew Ogletree,IND,Anytime TD,,2000.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Robert Tonyan,KC,Anytime TD,,3300.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Jared Wiley,KC,Anytime TD,,2500.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Laquon Treadwell,IND,Anytime TD,,2800.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Jonathan Taylor (IND) - 1H,,Anytime TD,,110.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Kareem Hunt (KC) - 1H,,Anytime TD,,210.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Isiah Pacheco (KC) - 1H,,Anytime TD,,210.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Rashee Rice (KC) - 1H,,Anytime TD,,250.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Travis Kelce (KC) - 1H,,Anytime TD,,300.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Tyler Warren (IND) - 1H,,Anytime TD,,400.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Xavier Worthy (KC) - 1H,,Anytime TD,,450.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Michael Pittman (IND) - 1H,,Anytime TD,,475.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Alec Pierce (IND) - 1H,,Anytime TD,,525.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Patrick Mahomes (KC) - 1H,,Anytime TD,,625.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Josh Downs (IND) - 1H,,Anytime TD,,625.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Daniel Jones (IND) - 1H,,Anytime TD,,625.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Marquise Brown (KC) - 1H,,Anytime TD,,725.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Brashard Smith (KC) - 1H,,Anytime TD,,725.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Noah Gray (KC) - 1H,,Anytime TD,,950.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
KC Chiefs D/ST - 1H,,Anytime TD,,1200.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
Tyquan Thornton (KC) - 1H,,Anytime TD,,1300.0,,Bovada,Indianapolis Colts @ Kansas City Chiefs,1763920800000,Chiefs,Colts,False
