date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,roof,surface,neutral_site,wx_precip_type,wx_sky
2025-09-07,Atlanta Falcons,73.58,8.512782699999999,0.0,retractable,artificial,,none,
2025-09-07,Cleveland Browns,61.16,11.557500600000001,100.0,open,grass,,rain,
2025-09-07,Indianapolis Colts,60.8,6.8972181,0.0,retractable,artificial,,none,
2025-09-07,Jacksonville Jaguars,78.62,8.202097199999999,100.0,open,grass,,rain,
2025-09-07,New England Patriots,62.959999999999994,11.8681861,100.0,open,artificial,,rain,
2025-09-07,New Orleans Saints,83.12,9.4448392,0.0,fixed,artificial,,none,
2025-09-07,New York Jets,65.48,6.2758471,100.0,open,artificial,,rain,
2025-09-07,Washington Commanders,68.18,9.4448392,100.0,open,grass,,rain,
2025-09-07,Denver Broncos,72.68,7.5807262,100.0,open,grass,,rain,
2025-09-07,Seattle Seahawks,64.75999999999999,8.077823,0.0,open,artificial,,none,
2025-09-07,Green Bay Packers,53.06,8.202097199999999,0.0,open,grass,,none,
2025-09-07,Los Angeles Rams,74.48,7.0836294,0.0,fixed,artificial,,none,
2025-09-07,Buffalo Bills,58.82,14.1672588,100.0,open,grass,,rain,
