player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Matthew Stafford,LAR,Passing Yards,350.0,1100.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,QB,pass_yards,211.1,-138.9,-0.9995661712881296,,,138.9
Puka Nacua,LAR,Receiving Yards,175.0,900.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,37.0,-138.0,-0.9999999999999978,,,138.0
Matthew Stafford,LAR,Passing Yards,325.0,700.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,QB,pass_yards,211.1,-113.9,-0.9954528845666979,,,113.9
Puka Nacua,LAR,Receiving Yards,150.0,475.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,37.0,-113.0,-0.9999999999140353,,,113.0
Davante Adams,LAR,Receiving Yards,125.0,1000.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,25.9,-99.1,-0.999999969407296,,,99.1
Matthew Stafford,LAR,Passing Yards,300.0,400.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,QB,pass_yards,211.1,-88.9,-0.972286882784587,,,88.9
Puka Nacua,LAR,Receiving Yards,125.0,220.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,37.0,-88.0,-0.9999996382037124,,,88.0
Davante Adams,LAR,Receiving Yards,110.0,675.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,25.9,-84.1,-0.9999970804504673,,,84.1
Kyren Williams,LAR,Rushing Yards,150.0,1400.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,RB,rush_yards,66.0,-84.0,-0.9999999852011853,,,84.0
Christian McCaffrey,SF,Rushing Yards,125.0,875.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,RB,rush_yards,44.4,-80.6,-0.9999999582946135,,,80.6
Kendrick Bourne,SF,Receiving Yards,110.0,1600.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,29.9,-80.1,-0.9999791256290409,,,80.1
Christian McCaffrey,SF,Receiving Yards,100.0,625.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,RB,rec_yards,23.9,-76.1,-0.99997249092012,,,76.1
Davante Adams,LAR,Receiving Yards,100.0,475.0,,True,San Francisco 49ers @ Los Angeles Rams,Rams,49ers,1759450500000,Bovada,WR,rec_yards,25.9,-74.1,-0.9999624054935367,,,74.1
