player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Adam Prentice,DEN,Anytime TD,,1700.0,,False,,Broncos,Bills,1768685400000,Bovada,,,,,,,unsupported_market,0.0
Kyren Williams,LAR,Anytime TD,,110.0,,False,,Bears,Rams,1768779000000,Bovada,RB,,,,,,unsupported_market,0.0
Luke Farrell,SF,Anytime TD,,1000.0,,False,,Seahawks,49ers,1768698000000,Bovada,TE,,,,,,unsupported_market,0.0
Los Angeles Rams Def/ST (LAR) - 1Q,,Anytime TD,,3500.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Los Angeles Rams Def/ST (LAR) - 1H,,Anytime TD,,1500.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Lil'Jordan Humphrey (DEN) - 1Q,,Anytime TD,,4500.0,,False,,Broncos,Bills,1768685400000,Bovada,,,,,,,unsupported_market,0.0
Lil'Jordan Humphrey (DEN) - 1H,,Anytime TD,,1500.0,,False,,Broncos,Bills,1768685400000,Bovada,,,,,,,unsupported_market,0.0
Lil'Jordan Humphrey,DEN,Anytime TD,,725.0,,False,,Broncos,Bills,1768685400000,Bovada,,,,,,,unsupported_market,0.0
Kyren Williams (LAR) - 1Q,,Anytime TD,,600.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Kyren Williams (LAR) - 1H,,Anytime TD,,270.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Kyren Williams,LAR,Receiving Yards,75.5,-110.0,-120.0,False,,Bears,Rams,1768779000000,Bovada,RB,,,,,,unsupported_market,0.0
Kyle Williams (NE) - 1Q,,Anytime TD,,4500.0,,False,,Patriots,Texans,1768766400000,Bovada,,,,,,,unsupported_market,0.0
Luke Farrell (SF) - 1Q,,Anytime TD,,8000.0,,False,,Seahawks,49ers,1768698000000,Bovada,,,,,,,unsupported_market,0.0
Kyle Williams (NE) - 1H,,Anytime TD,,1500.0,,False,,Patriots,Texans,1768766400000,Bovada,,,,,,,unsupported_market,0.0
Kyle Williams,NE,Anytime TD,,725.0,,False,,Patriots,Texans,1768766400000,Bovada,WR,,,,,,unsupported_market,0.0
Kyle Monangai (CHI) - 1Q,,Anytime TD,,1100.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Kyle Monangai (CHI) - 1H,,Anytime TD,,450.0,,False,,Bears,Rams,1768779000000,Bovada,,,,,,,unsupported_market,0.0
Kyle Monangai,CHI,Receiving Yards,48.5,-120.0,-110.0,False,,Bears,Rams,1768779000000,Bovada,RB,,,,,,unsupported_market,0.0
Kyle Monangai,CHI,Anytime TD,,215.0,,False,,Bears,Rams,1768779000000,Bovada,RB,,,,,,unsupported_market,0.0
Kyle Juszczyk (SF) - 1Q,,Anytime TD,,3000.0,,False,,Seahawks,49ers,1768698000000,Bovada,,,,,,,unsupported_market,0.0
Kyle Juszczyk (SF) - 1H,,Anytime TD,,1400.0,,False,,Seahawks,49ers,1768698000000,Bovada,,,,,,,unsupported_market,0.0
Kyle Juszczyk,SF,Anytime TD,,800.0,,False,,Seahawks,49ers,1768698000000,Bovada,,,,,,,unsupported_market,0.0
Luke Farrell (SF) - 1H,,Anytime TD,,2000.0,,False,,Seahawks,49ers,1768698000000,Bovada,,,,,,,unsupported_market,0.0
