date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-09-21,Carolina Panthers,86.2,8.0,0.0,none,Clear,open,grass,
2025-09-21,Cleveland Browns,77.6,3.4,37.0,rain,Overcast,open,grass,
2025-09-21,Jacksonville Jaguars,80.6,11.3,100.0,rain,Overcast,open,grass,
2025-09-21,Minnesota Vikings,79.5,9.3,0.0,none,Mostly Cloudy,fixed,artificial,
2025-09-21,New England Patriots,66.2,7.6,0.0,none,Partly Cloudy,open,artificial,
2025-09-21,Philadelphia Eagles,70.8,7.2,0.0,none,Overcast,open,grass,
2025-09-21,Tampa Bay Buccaneers,86.3,9.4,100.0,rain,Mostly Cloudy,open,grass,
2025-09-21,Tennessee Titans,90.0,8.9,0.0,none,Mostly Clear,open,grass,
2025-09-21,Washington Commanders,71.7,6.6,0.0,none,Overcast,open,grass,
2025-09-21,Los Angeles Chargers,78.0,8.8,0.0,none,Partly Cloudy,fixed,artificial,
2025-09-21,Seattle Seahawks,69.2,8.0,17.0,none,Partly Cloudy,open,artificial,
2025-09-21,Chicago Bears,79.1,13.3,0.0,none,Overcast,open,grass,
2025-09-21,San Francisco 49ers,86.3,9.3,0.0,none,Clear,open,grass,
2025-09-21,New York Giants,69.4,9.3,0.0,none,Overcast,open,artificial,
