date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-10-05,Cleveland Browns,79.6,6.5,0.0,none,Clear,open,grass,
2025-10-05,Baltimore Ravens,77.1,8.1,0.0,none,Clear,open,grass,
2025-10-05,Carolina Panthers,80.1,6.5,0.0,none,Overcast,open,grass,
2025-10-05,Indianapolis Colts,83.8,9.4,0.0,none,Clear,retractable,artificial,
2025-10-05,New Orleans Saints,76.5,8.9,100.0,rain,Overcast,fixed,artificial,
2025-10-05,New York Jets,80.7,8.7,0.0,none,Clear,open,artificial,
2025-10-05,Philadelphia Eagles,80.2,7.2,0.0,none,Clear,open,grass,
2025-10-05,Arizona Cardinals,86.6,2.9,0.0,none,Clear,retractable,grass,
2025-10-05,Seattle Seahawks,63.3,7.2,0.0,none,Clear,open,artificial,
2025-10-05,Cincinnati Bengals,83.8,3.5,0.0,none,Clear,open,artificial,
2025-10-05,Los Angeles Chargers,71.6,8.1,0.0,none,Clear,fixed,artificial,
2025-10-05,Buffalo Bills,80.4,7.9,0.0,none,Clear,open,grass,
