date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-09,Indianapolis Colts,42.260000000000005,15.3478637,100.0,rain,,retractable,artificial,
2025-11-09,Carolina Panthers,65.12,12.8623797,100.0,rain,,open,grass,
2025-11-09,Chicago Bears,36.5,18.64113,100.0,rain,,open,grass,
2025-11-09,Houston Texans,69.8,13.048791,0.0,none,,retractable,artificial,
2025-11-09,Miami Dolphins,77.72,4.349597,100.0,rain,,open,grass,
2025-11-09,Minnesota Vikings,26.6,14.1051217,100.0,snow,,fixed,artificial,
2025-11-09,New York Jets,53.96,9.7555247,100.0,rain,,open,artificial,
2025-11-09,Tampa Bay Buccaneers,74.48,7.8914117,100.0,rain,,open,grass,
2025-11-09,Seattle Seahawks,50.9,6.151572900000001,0.0,none,,open,artificial,
2025-11-09,San Francisco 49ers,63.14,3.8525002,0.0,none,,open,grass,
2025-11-09,Washington Commanders,58.459999999999994,8.823468199999999,100.0,rain,,open,grass,
2025-11-09,Los Angeles Chargers,66.38,3.8525002,0.0,none,,fixed,artificial,
