player,team,market,line,over_price,under_price,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Tyreek Hill,MIA,Receiving Yards,65.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,rec_yards,41.8,-23.700000000000003,,,,23.700000000000003
James Cook,BUF,Rushing Yards,67.5,-120.0,-110.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,rush_yards,46.9,-20.6,,,,20.6
De'Von Achane,MIA,Receiving Yards,38.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,rec_yards,18.4,-20.1,,,,20.1
Jaylen Waddle,MIA,Receiving Yards,50.5,-115.0,-115.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,rec_yards,30.7,-19.8,,,,19.8
Josh Allen,BUF,Passing Yards,233.5,-115.0,-115.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,QB,pass_yards,216.5,-17.0,,,,17.0
Khalil Shakir,BUF,Receiving Yards,40.5,-130.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,rec_yards,29.1,-11.399999999999999,,,,11.399999999999999
Tua Tagovailoa,MIA,Passing Yards,236.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,QB,pass_yards,225.5,-11.0,,,,11.0
James Cook,BUF,Receiving Yards,11.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,rec_yards,19.5,8.0,,,,8.0
De'Von Achane,MIA,Rushing Yards,55.5,-110.0,-120.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,rush_yards,62.2,6.700000000000003,,,,6.700000000000003
Ray Davis,BUF,Rushing Yards,21.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,rush_yards,27.1,5.600000000000001,,,,5.600000000000001
De'Von Achane,MIA,Receptions,5.5,-110.0,-120.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,receptions,3.09,-2.41,,,,2.41
Dalton Kincaid,BUF,Receiving Yards,29.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,TE,rec_yards,27.4,-2.1000000000000014,,,,2.1000000000000014
James Cook,BUF,Receptions,1.5,-180.0,135.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,receptions,3.05,1.5499999999999998,,,,1.5499999999999998
Keon Coleman,BUF,Receiving Yards,43.5,-125.0,-105.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,rec_yards,44.7,1.2000000000000028,,,,1.2000000000000028
Darren Waller,BUF,Anytime TD,,625.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,TE,any_td,0.2927,,1.1220750000000002,,,1.1220750000000002
Keon Coleman,BUF,Receptions,2.5,-180.0,135.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,receptions,3.52,1.02,,,,1.02
Dalton Kincaid,BUF,Receptions,2.5,-190.0,145.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,TE,receptions,3.45,0.9500000000000002,,,,0.9500000000000002
Jaylen Waddle,MIA,Receptions,4.5,,-130.0,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,receptions,3.79,-0.71,,,,0.71
Tua Tagovailoa,BUF,Anytime TD,,1800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,QB,any_td,0.0841,,0.5978999999999998,,,0.5978999999999998
Julian Hill,BUF,Anytime TD,,800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,TE,any_td,0.1768,,0.5912000000000002,,,0.5912000000000002
