player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
Kyren Williams,LAR,Anytime TD,,-148,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Bryce Young,CAR,Anytime TD,,800,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Blake Corum,LAR,Anytime TD,,205,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Xavier Smith,LAR,Anytime TD,,1300,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Jimmy Horn Jr.,CAR,Anytime TD,,1100,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Tommy Tremble,CAR,Anytime TD,,700,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Jordan Whittington,LAR,Anytime TD,,800,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Terrance Ferguson,LAR,Anytime TD,,825,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Jarquez Hunter,LAR,Anytime TD,,1800,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Konata Mumpfield,LAR,Anytime TD,,725,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Jalen Coker,CAR,Anytime TD,,320,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Trevor Etienne,CAR,Anytime TD,,1500,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Xavier Legette,CAR,Anytime TD,,500,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
TuTu Atwell,LAR,Anytime TD,,1000,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Rico Dowdle,CAR,Anytime TD,,145,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Tetairoa McMillan,CAR,Anytime TD,,185,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Puka Nacua,LAR,Anytime TD,,-114,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Brycen Tremayne,CAR,Anytime TD,,1900,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
James Mitchell,CAR,Anytime TD,,1700,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Hunter Renfrow,CAR,Anytime TD,,1900,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Davante Adams,LAR,Anytime TD,,-136,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Mitchell Evans,CAR,Anytime TD,,800,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Tyler Higbee,LAR,Anytime TD,,310,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Matthew Stafford,LAR,Anytime TD,,1500,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Ronnie Rivers,LAR,Anytime TD,,1700,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Davis Allen,LAR,Anytime TD,,800,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Colby Parkinson,LAR,Anytime TD,,310,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Chuba Hubbard,CAR,Anytime TD,,360,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Davante Adams & Los Angeles Rams,,Anytime TD,,-110,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Davante Adams & Carolina Panthers,,Anytime TD,,850,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Kyren Williams & Los Angeles Rams,,Anytime TD,,-110,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Kyren Williams & Carolina Panthers,,Anytime TD,,850,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Puka Nacua & Los Angeles Rams,,Anytime TD,,120,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
Puka Nacua & Carolina Panthers,,Anytime TD,,1050,,Bovada,Los Angeles Rams @ Carolina Panthers,1768080600000,Panthers,Rams,False
